region_id	region_name	region_name_in_data	region_ent_type	total	electricity-from_national_grid_or_from_rural_hydro_power_project	kerosene_lamp	solar_power_grid_connected	solar_power_standalone	bio_gas	rural_water_supply_project	other
LK-6206	Vanathavilluwa	Vanathawilluwa	dsd	5910	5504	345	8	43	3	3	4
LK-6209	Karuwalagaswewa	Karuwalagaswewa	dsd	8024	7718	265	10	19	0	1	11
LK-6212	Nawagattegama	Nawagattegama	dsd	5301	5082	187	6	13	0	0	13
LK-6215	Puttalam	Puttalam	dsd	24122	23537	471	9	31	1	1	72
LK-6218	Mundel	Mundel	dsd	19115	18521	536	9	12	0	5	32
LK-6221	Mahakumbukkadawala	Mahakumbukkadawala	dsd	6644	6283	289	4	60	1	0	7
LK-6224	Anamaduwa	Anamaduwa	dsd	12975	12587	333	9	34	1	0	11
LK-6227	Pallama	Pallama	dsd	8296	8027	233	1	9	1	1	24
LK-6230	Arachchikattuwa	Arachchikattuwa	dsd	12708	12497	178	4	12	2	2	13
LK-6233	Chilaw	Chilaw	dsd	18730	18498	189	10	4	1	1	27
LK-6236	Madampe	Madampe	dsd	14719	14567	130	10	4	0	2	6
LK-6239	Mahawewa	Mahawewa	dsd	14718	14559	106	38	10	0	2	3
LK-6242	Nattandiya	Nattandiya	dsd	19335	18837	259	33	171	1	4	30
LK-6245	Wennappuwa	Wennappuwa	dsd	19939	19759	92	56	7	1	0	24
LK-6248	Dankotuwa	Dankotuwa	dsd	18823	18664	133	6	2	0	0	18
LK-7	North Central	(computed)	province	402469	392571	8494	206	440	12	31	715
LK-71	Anuradhapura	Anuradhapura District	district	275084	268242	5908	128	312	8	19	467
LK-7103	Padaviya	Padaviya	dsd	7211	7071	126	2	10	0	0	2
LK-7106	Kebithigollewa	Kebithigollewa	dsd	7702	7511	167	5	6	1	1	11
LK-7109	Medawachchiya	Medawachchiya	dsd	15346	14862	436	1	15	0	1	31
LK-7112	Mahawilachchiya	Mahawilachchiya	dsd	7134	6731	374	6	17	0	0	6
LK-7115	Nuwaragam Palatha Central	Nuwaragam Palatha Central	dsd	20154	19635	442	16	30	1	3	27
LK-7118	Rambewa	Rambewa	dsd	11600	11269	291	4	23	0	1	12
LK-7121	Kahatagasdigiliya	Kahatagasdigiliya	dsd	12872	12480	368	3	11	0	0	10
LK-7124	Horowpathana	Horowpothana	dsd	11339	11007	268	4	28	2	2	28
LK-7127	Galenbidunuwewa	Galenbindunuwewa	dsd	14458	14167	263	6	12	0	0	10
LK-7130	Mihinthale	Mihinthale	dsd	11525	11242	250	5	9	0	0	19
LK-7133	Nuwaragam Palatha East	Nuwaragam Palatha East	dsd	21502	21194	222	30	17	0	4	35
LK-7136	Nachchaduwa	Nachchaduwa	dsd	8275	8036	216	4	5	0	0	14
LK-7139	Nochchiyagama	Nochchiyagama	dsd	16092	15730	296	5	18	1	2	40
LK-7142	Rajanganaya	Rajanganaya	dsd	10734	10502	197	0	16	0	0	19
LK-7145	Thambuththegama	Thambuttegama	dsd	13432	13170	207	2	3	0	1	49
LK-7148	Thalawa	Thalawa	dsd	17953	17580	330	6	14	1	0	22
LK-7151	Thirappane	Thirappane	dsd	9054	8751	253	4	22	0	0	24
LK-7154	Kekirawa	Kekirawa	dsd	18302	17946	302	5	15	0	2	32
LK-7157	Palugaswewa	Palugaswewa	dsd	5239	5054	162	1	9	1	0	12
LK-7160	Ipalogama	Ipalogama	dsd	12501	12205	268	3	7	0	1	17
LK-7163	Galnewa	Galnewa	dsd	11490	11274	175	4	14	1	0	22
LK-7166	Palagala	Palagala	dsd	11169	10825	295	12	11	0	1	25
LK-72	Polonnaruwa	Polonnaruwa District	district	127385	124329	2586	78	128	4	12	248
LK-7203	Higurakgoda	Hingurakgoda	dsd	20319	19913	344	26	11	0	1	24
LK-7206	Medirigiriya	Medirigiriya	dsd	20599	20168	338	6	25	0	1	61
LK-7209	Lankapura	Lankapura	dsd	11449	11179	251	0	2	1	2	14
LK-7210	Welikanda	Welikanda	dsd	11051	10554	461	10	13	1	0	12
LK-7212	Dimbulagala	Dimbulagala	dsd	24354	23680	578	11	46	0	1	38
LK-7215	Thamankaduwa	Thamankaduwa	dsd	25391	24958	306	17	11	2	6	91
LK-7218	Elahera	Elahera	dsd	14222	13877	308	8	20	0	1	8
LK-8	Uva	(computed)	province	400025	389582	8556	183	571	8	93	1032
LK-81	Badulla	Badulla District	district	248262	242999	4499	112	201	4	24	423
LK-8103	Mahiyanganaya	Mahiyanganaya	dsd	25579	24933	571	16	20	0	4	35
LK-8106	Rideemaliyadda	Rideemaliyadda	dsd	17356	16818	480	6	31	3	0	18
LK-8109	Meegahakiula	Meegahakivula	dsd	6583	6393	179	2	3	0	0	6
LK-8112	Kandeketiya	Kandaketiya	dsd	7824	7645	160	1	10	0	0	8
LK-8115	Soranathota	Soranathota	dsd	7195	7032	146	0	1	0	1	15
LK-8118	Passara	Passara	dsd	14227	13936	244	2	3	0	2	40
LK-8119	Lunugala	Lunugala	dsd	9422	9067	312	6	10	0	0	27
LK-8121	Badulla	Badulla	dsd	22160	21925	195	5	4	0	2	29
LK-8124	Hali-Ela	- Hali-Ela	dsd	27397	26830	476	4	16	0	2	69
LK-8127	Uvaparanagama	Uva Paranagama	dsd	23299	22865	361	2	36	0	3	32
LK-8130	Welimada	Welimada	dsd	29620	29051	460	9	31	1	6	62
LK-8133	Bandarawela	Bandarawela	dsd	18639	18479	129	3	5	0	1	22
LK-8136	Ella	Ella	dsd	13704	13448	217	9	5	0	1	24
LK-8139	Haputale	Haputale	dsd	13992	13730	240	4	2	0	2	14
LK-8142	Haldummulla	Haldummulla	dsd	11265	10847	329	43	24	0	0	22
LK-82	Monaragala	Monaragala District	district	151763	146583	4057	71	370	4	69	609
LK-8203	Bibile	Bibile	dsd	13715	13294	384	3	12	0	0	22
LK-8206	Madulla	Madulla	dsd	10326	9992	309	7	6	0	0	12
LK-8209	Medagama	Medagama	dsd	12470	12062	353	4	21	1	0	29
LK-8212	Siyambalanduwa	Siyambalanduwa	dsd	17865	17134	600	10	63	0	0	58
LK-8215	Monaragala	Moneragala	dsd	15981	15543	386	7	23	0	1	21
LK-8218	Badalkumbura	Badalkumbura	dsd	13262	12992	215	2	13	1	1	38
LK-8221	Wellawaya	Wellawaya	dsd	21590	20733	633	9	53	2	2	158
LK-8224	Buttala	Buttala	dsd	17706	17039	431	10	106	0	65	55
LK-8227	Katharagama	Katharagama	dsd	5395	5138	169	2	6	0	0	80
LK-8230	Thanamalwila	Thanamalvila	dsd	9537	9166	275	8	43	0	0	45
LK-8233	Sevanagala	Sevanagala	dsd	13916	13490	302	9	24	0	0	91
LK-9	Sabaragamuwa	(computed)	province	571682	558898	10307	203	542	8	193	1531
LK-91	Ratnapura	Rathnapura District	district	327645	319263	6656	135	368	5	165	1053
LK-9103	Eheliyagoda	Eheliyagoda	dsd	20443	20053	317	10	6	0	2	55
LK-9106	Kuruvita	Kuruvita	dsd	27041	26546	412	6	12	0	0	65
LK-9109	Kiriella	Kiriella	dsd	9658	9461	152	2	16	0	0	27
LK-9112	Ratnapura	Ratnapura	dsd	33423	32707	590	23	22	2	10	69
LK-9115	Imbulpe	Imbulpe	dsd	18690	18286	350	4	28	0	0	22
LK-9118	Balangoda	Balangoda	dsd	21276	20845	346	7	37	0	5	36
LK-9119	Kalthota	Kalthota	dsd	4026	3908	99	4	8	0	0	7
LK-9121	Opanayake	Opanayake	dsd	8139	7949	156	1	9	0	0	24
LK-9124	Pelmadulla	Pelmadulla	dsd	26300	25541	478	8	26	0	128	119
LK-9127	Elapatha	Elapatha	dsd	10904	10543	303	4	15	0	1	38
LK-9130	Ayagama	Ayagama	dsd	8897	8477	364	7	26	0	1	22
LK-9133	Kalawana	Kalawana	dsd	15180	14807	293	6	36	0	1	37
LK-9136	Nivithigala	Nivithigala	dsd	16782	16268	422	5	8	0	2	77
LK-9139	Kahawattha	Kahawatta	dsd	12482	12092	338	2	7	0	0	43
LK-9142	Godakawela	Godakawela	dsd	22908	22240	511	8	30	1	15	103
LK-9145	Weligepola	Weligepola	dsd	10677	10327	263	4	30	1	0	52
LK-9148	Embilipitiya	Embilipitiya	dsd	45965	44692	977	25	36	1	0	234
LK-9151	Kolonna	Kolonna	dsd	14854	14521	285	9	16	0	0	23
LK-92	Kegalle	Kegalle District	district	244037	239635	3651	68	174	3	28	478
LK-9203	Rambukkana	Rambukkana	dsd	24842	24511	263	7	8	0	2	51
LK-9206	Mawanella	Mawanella	dsd	33333	32945	295	17	8	0	2	66
LK-9209	Aranayake	Aranayaka	dsd	20062	19731	271	1	10	0	2	47
LK-9212	Kegalle	Kegalle	dsd	26825	26383	332	16	18	0	1	75
LK-9215	Galigamuwa	Galigamuwa	dsd	21224	20912	270	5	9	0	1	27
LK-9218	Warakapola	Warakapola	dsd	32379	31815	494	5	12	2	5	46
LK-9221	Ruwanwella	Ruwanwella	dsd	18370	17872	367	5	81	1	5	39
LK-9224	Bulathkohipitiya	Bulathkohupitiya	dsd	12978	12673	275	0	3	0	3	24
LK-9227	Yatiyantota	Yatiyanthota	dsd	17541	17108	379	5	8	0	3	38
LK-9230	Dehiowita	Dehiovita	dsd	23403	22941	414	3	5	0	3	37
LK-9233	Deraniyagala	Deraniyagala	dsd	13080	12744	291	4	12	0	1	28
