region_id	region_name	region_name_in_data	region_ent_type	total	firewood	kerosene	gas	electricity	saw_dust_or_paddy_husk	bio_gas	other	not_relevant
LK-6248	Dankotuwa	Dankotuwa	dsd	18823	11701	55	6613	27	1	4	14	408
LK-7	North Central	(computed)	province	402469	304792	737	92753	560	12	186	103	3326
LK-71	Anuradhapura	Anuradhapura District	district	275084	205964	531	65810	386	6	58	64	2265
LK-7103	Padaviya	Padaviya	dsd	7211	6457	15	705	6	0	0	0	28
LK-7106	Kebithigollewa	Kebithigollewa	dsd	7702	6739	13	875	8	0	1	0	66
LK-7109	Medawachchiya	Medawachchiya	dsd	15346	12041	41	3130	13	0	0	5	116
LK-7112	Mahawilachchiya	Mahawilachchiya	dsd	7134	6584	44	470	1	0	0	7	28
LK-7115	Nuwaragam Palatha Central	Nuwaragam Palatha Central	dsd	20154	12922	52	6970	21	1	0	9	179
LK-7118	Rambewa	Rambewa	dsd	11600	9127	8	2360	5	0	0	2	98
LK-7121	Kahatagasdigiliya	Kahatagasdigiliya	dsd	12872	10120	56	2609	7	1	2	3	74
LK-7124	Horowpathana	Horowpothana	dsd	11339	8994	30	2222	8	0	6	3	76
LK-7127	Galenbidunuwewa	Galenbindunuwewa	dsd	14458	12443	27	1895	9	0	0	0	84
LK-7130	Mihinthale	Mihinthale	dsd	11525	6666	22	4639	23	1	0	5	169
LK-7133	Nuwaragam Palatha East	Nuwaragam Palatha East	dsd	21502	6674	61	14325	146	0	35	3	258
LK-7136	Nachchaduwa	Nachchaduwa	dsd	8275	6212	3	1943	11	0	4	0	102
LK-7139	Nochchiyagama	Nochchiyagama	dsd	16092	12860	12	3131	7	0	0	2	80
LK-7142	Rajanganaya	Rajanganaya	dsd	10734	9250	6	1370	4	0	4	5	95
LK-7145	Thambuththegama	Thambuttegama	dsd	13432	10301	11	2995	16	0	0	3	106
LK-7148	Thalawa	Thalawa	dsd	17953	14690	36	3079	21	0	1	1	125
LK-7151	Thirappane	Thirappane	dsd	9054	7120	17	1837	7	0	1	1	71
LK-7154	Kekirawa	Kekirawa	dsd	18302	13898	29	4176	31	0	0	3	165
LK-7157	Palugaswewa	Palugaswewa	dsd	5239	4024	5	1147	4	1	0	1	57
LK-7160	Ipalogama	Ipalogama	dsd	12501	9088	8	3263	14	1	0	3	124
LK-7163	Galnewa	Galnewa	dsd	11490	9712	10	1648	9	0	3	3	105
LK-7166	Palagala	Palagala	dsd	11169	10042	25	1021	15	1	1	5	59
LK-72	Polonnaruwa	Polonnaruwa District	district	127385	98828	206	26943	174	6	128	39	1061
LK-7203	Higurakgoda	Hingurakgoda	dsd	20319	14632	40	5470	21	0	3	4	149
LK-7206	Medirigiriya	Medirigiriya	dsd	20599	18232	17	2173	19	0	2	1	155
LK-7209	Lankapura	Lankapura	dsd	11449	7853	23	3319	31	0	122	5	96
LK-7210	Welikanda	Welikanda	dsd	11051	8907	37	2033	11	1	0	1	61
LK-7212	Dimbulagala	Dimbulagala	dsd	24354	21942	28	2249	31	0	0	6	98
LK-7215	Thamankaduwa	Thamankaduwa	dsd	25391	14230	52	10596	55	5	1	20	432
LK-7218	Elahera	Elahera	dsd	14222	13032	9	1103	6	0	0	2	70
LK-8	Uva	(computed)	province	400025	327040	957	68808	988	82	32	50	2068
LK-81	Badulla	Badulla District	district	248262	200159	651	45606	583	81	20	18	1144
LK-8103	Mahiyanganaya	Mahiyanganaya	dsd	25579	22398	49	2981	31	1	0	3	116
LK-8106	Rideemaliyadda	Rideemaliyadda	dsd	17356	16189	55	922	110	0	0	0	80
LK-8109	Meegahakiula	Meegahakivula	dsd	6583	6068	8	401	47	0	0	0	59
LK-8112	Kandeketiya	Kandaketiya	dsd	7824	7310	7	473	6	0	0	0	28
LK-8115	Soranathota	Soranathota	dsd	7195	6579	5	590	7	0	0	0	14
LK-8118	Passara	Passara	dsd	14227	12242	27	1917	7	1	2	1	30
LK-8119	Lunugala	Lunugala	dsd	9422	8356	22	1009	16	0	4	0	15
LK-8121	Badulla	Badulla	dsd	22160	10017	109	11645	63	5	3	4	314
LK-8124	Hali-Ela	- Hali-Ela	dsd	27397	22388	60	4758	58	19	3	2	109
LK-8127	Uvaparanagama	Uva Paranagama	dsd	23299	21781	50	1393	18	3	2	1	51
LK-8130	Welimada	Welimada	dsd	29620	24041	71	5328	27	44	3	2	104
LK-8133	Bandarawela	Bandarawela	dsd	18639	12572	39	5896	36	5	2	3	86
LK-8136	Ella	Ella	dsd	13704	10827	53	2728	45	1	0	1	49
LK-8139	Haputale	Haputale	dsd	13992	9393	26	4490	27	1	1	0	54
LK-8142	Haldummulla	Haldummulla	dsd	11265	9998	70	1075	85	1	0	1	35
LK-82	Monaragala	Monaragala District	district	151763	126881	306	23202	405	1	12	32	924
LK-8203	Bibile	Bibile	dsd	13715	11760	11	1838	8	0	0	3	95
LK-8206	Madulla	Madulla	dsd	10326	9184	53	1048	6	1	0	1	33
LK-8209	Medagama	Medagama	dsd	12470	10786	20	1564	40	0	0	4	56
LK-8212	Siyambalanduwa	Siyambalanduwa	dsd	17865	15904	17	1788	73	0	0	2	81
LK-8215	Monaragala	Moneragala	dsd	15981	11816	29	4011	24	0	1	3	97
LK-8218	Badalkumbura	Badalkumbura	dsd	13262	11289	107	1811	11	0	0	1	43
LK-8221	Wellawaya	Wellawaya	dsd	21590	18165	19	3191	28	0	8	9	170
LK-8224	Buttala	Buttala	dsd	17706	14698	14	2745	178	0	0	4	67
LK-8227	Katharagama	Katharagama	dsd	5395	3623	11	1658	13	0	1	2	87
LK-8230	Thanamalwila	Thanamalvila	dsd	9537	8376	8	1050	8	0	0	1	94
LK-8233	Sevanagala	Sevanagala	dsd	13916	11280	17	2498	16	0	2	2	101
LK-9	Sabaragamuwa	(computed)	province	571682	433669	1060	131384	960	32	23	154	4400
LK-91	Ratnapura	Rathnapura District	district	327645	255732	687	68039	493	19	11	67	2597
LK-9103	Eheliyagoda	Eheliyagoda	dsd	20443	13470	58	6655	58	3	2	6	191
LK-9106	Kuruvita	Kuruvita	dsd	27041	20239	60	6487	34	2	5	11	203
LK-9109	Kiriella	Kiriella	dsd	9658	7816	9	1713	9	0	1	4	106
LK-9112	Ratnapura	Ratnapura	dsd	33423	21071	121	11944	82	1	0	6	198
LK-9115	Imbulpe	Imbulpe	dsd	18690	15880	24	2505	69	2	0	1	209
LK-9118	Balangoda	Balangoda	dsd	21276	15348	62	5650	75	2	0	2	137
LK-9119	Kalthota	Kalthota	dsd	4026	3802	1	191	4	0	0	0	28
LK-9121	Opanayake	Opanayake	dsd	8139	7125	6	942	7	0	0	2	57
LK-9124	Pelmadulla	Pelmadulla	dsd	26300	21331	59	4742	20	0	0	5	143
LK-9127	Elapatha	Elapatha	dsd	10904	9121	6	1682	9	0	0	1	85
LK-9130	Ayagama	Ayagama	dsd	8897	7973	9	868	3	0	0	1	43
LK-9133	Kalawana	Kalawana	dsd	15180	12705	17	2362	8	0	0	1	87
LK-9136	Nivithigala	Nivithigala	dsd	16782	14125	51	2445	8	2	0	6	145
LK-9139	Kahawattha	Kahawatta	dsd	12482	10006	10	2393	10	0	0	3	60
LK-9142	Godakawela	Godakawela	dsd	22908	18351	40	4242	21	3	3	7	241
LK-9145	Weligepola	Weligepola	dsd	10677	9996	4	598	2	0	0	0	77
LK-9148	Embilipitiya	Embilipitiya	dsd	45965	33720	140	11577	69	2	0	11	446
LK-9151	Kolonna	Kolonna	dsd	14854	13653	10	1043	5	2	0	0	141
LK-92	Kegalle	Kegalle District	district	244037	177937	373	63345	467	13	12	87	1803
LK-9203	Rambukkana	Rambukkana	dsd	24842	18152	34	6416	33	1	0	6	200
LK-9206	Mawanella	Mawanella	dsd	33333	19936	40	13054	68	0	2	13	220
LK-9209	Aranayake	Aranayaka	dsd	20062	16117	21	3737	29	1	0	7	150
LK-9212	Kegalle	Kegalle	dsd	26825	16900	41	9542	66	3	1	6	266
LK-9215	Galigamuwa	Galigamuwa	dsd	21224	16216	23	4803	17	0	2	5	158
LK-9218	Warakapola	Warakapola	dsd	32379	24161	54	7819	55	3	1	12	274
LK-9221	Ruwanwella	Ruwanwella	dsd	18370	14100	23	4052	17	2	1	13	162
LK-9224	Bulathkohipitiya	Bulathkohupitiya	dsd	12978	11277	10	1601	11	0	0	2	77
LK-9227	Yatiyantota	Yatiyanthota	dsd	17541	13725	14	3711	13	1	0	3	74
LK-9230	Dehiowita	Dehiovita	dsd	23403	16497	99	6607	27	0	4	16	153
LK-9233	Deraniyagala	Deraniyagala	dsd	13080	10856	14	2003	131	2	1	4	69
