region_id	region_name	region_name_in_data	region_ent_type	total	sex-male	sex-female	age-under-15	age-15-to-59	age-60-to-64	age-65-and-over
LK-7203	Hingurakgoda	Hingurakgoda	dsd	70651	34397	36254	15156	42935	4009	8551
LK-7206	Medirigiriya	Medirigiriya	dsd	72482	35670	36812	16293	44322	3949	7918
LK-7209	Lankapura	Lankapura	dsd	39673	18971	20702	9564	24054	2032	4023
LK-7210	Welikanda	Welikanda	dsd	38196	19014	19182	9686	23326	1773	3411
LK-7212	Dimbulagala	Dimbulagala	dsd	85907	42635	43272	19513	53223	4506	8665
LK-7215	Thamankaduwa	Thamankaduwa	dsd	92056	44786	47270	20435	56648	4905	10068
LK-7218	Elahera	Elahera	dsd	48565	24213	24352	10637	29230	2823	5875
LK-81	Badulla	Badulla District	district	872307	422818	449489	188030	529454	50043	104780
LK-8103	Mahiyanganaya	Mahiyanganaya	dsd	89082	44008	45074	20982	55970	4209	7921
LK-8106	Rideemaliyadda	Rideemaliyadda	dsd	60882	30196	30686	14246	38531	2908	5197
LK-8109	Meegahakivula	Meegahakivula	dsd	22683	11217	11466	5300	13805	1206	2372
LK-8112	Kandaketiya	Kandaketiya	dsd	26913	13291	13622	6372	16198	1484	2859
LK-8115	Soranathota	Soranathota	dsd	24407	11780	12627	5310	14555	1459	3083
LK-8118	Passara	Passara	dsd	49636	23888	25748	10739	29122	3048	6727
LK-8119	Lunugala	Lunugala	dsd	31881	15199	16682	7513	18124	2016	4228
LK-8121	Badulla	Badulla	dsd	83033	38537	44496	16169	51802	4602	10460
LK-8124	Hali-Ela	- Hali-Ela	dsd	94226	44945	49281	20046	55526	6003	12651
LK-8127	Uva Paranagama	Uva Paranagama	dsd	82069	39841	42228	17172	48848	5172	10877
LK-8130	Welimada	Welimada	dsd	105510	51300	54210	23278	63196	6334	12702
LK-8133	Bandarawela	Bandarawela	dsd	65488	31527	33961	12554	40490	3824	8620
LK-8136	Ella	Ella	dsd	49439	24611	24828	10066	30521	2805	6047
LK-8139	Haputale	Haputale	dsd	48280	23375	24905	9954	29307	2842	6177
LK-8142	Haldummulla	Haldummulla	dsd	38778	19103	19675	8329	23459	2131	4859
LK-82	Moneragala	Moneragala District	district	527585	260927	266658	124232	323784	26325	53244
LK-8203	Bibile	Bibile	dsd	47266	22915	24351	10906	28823	2533	5004
LK-8206	Madulla	Madulla	dsd	36446	18117	18329	8469	22301	1940	3736
LK-8209	Medagama	Medagama	dsd	44614	22055	22559	11031	27048	2191	4344
LK-8212	Siyambalanduwa	Siyambalanduwa	dsd	63055	31502	31553	15107	39407	2971	5570
LK-8215	Moneragala	Moneragala	dsd	56951	28080	28871	13486	35223	2703	5539
LK-8218	Badalkumbura	Badalkumbura	dsd	46595	22894	23701	10763	27725	2562	5545
LK-8221	Wellawaya	Wellawaya	dsd	73280	36227	37053	17094	45411	3506	7269
LK-8224	Buttala	Buttala	dsd	60606	30180	30426	13966	37606	3168	5866
LK-8227	Katharagama	Katharagama	dsd	18158	9200	8958	3998	11449	945	1766
LK-8230	Thanamalvila	Thanamalvila	dsd	31238	15636	15602	7340	18800	1682	3416
LK-8233	Sevanagala	Sevanagala	dsd	49376	24121	25255	12072	29991	2124	5189
LK-91	Ratnapura	Ratnapura District	district	1145423	562459	582964	232870	700561	61301	150691
LK-9103	Eheliyagoda	Eheliyagoda	dsd	74071	36492	37579	14355	45466	3960	10290
LK-9106	Kuruvita	Kuruvita	dsd	97966	48516	49450	18463	61211	5145	13147
LK-9109	Kiriella	Kiriella	dsd	33631	16571	17060	6084	20478	1888	5181
LK-9112	Ratnapura	Ratnapura	dsd	121166	59557	61609	23313	75847	6380	15626
LK-9115	Imbulpe	Imbulpe	dsd	64555	30398	34157	12395	40111	3590	8459
LK-9118	Balangoda	Balangoda	dsd	74893	36403	38490	16084	45032	4034	9743
LK-9121	Opanayake	Opanayake	dsd	27244	13215	14029	5515	16493	1523	3713
LK-9124	Pelmadulla	Pelmadulla	dsd	93818	46407	47411	18118	58043	4995	12662
LK-9127	Elapatha	Elapatha	dsd	38429	19138	19291	6973	23864	2175	5417
LK-9130	Ayagama	Ayagama	dsd	29944	14878	15066	5671	18359	1667	4247
LK-9133	Kalawana	Kalawana	dsd	50753	25109	25644	10400	31067	2742	6544
LK-9136	Nivithigala	Nivithigala	dsd	59442	29447	29995	11874	36432	3281	7855
LK-9139	Kahawatta	Kahawatta	dsd	43708	21532	22176	9184	26453	2374	5697
LK-9142	Godakawela	Godakawela	dsd	78541	37951	40590	16690	46821	4266	10764
LK-9145	Weligepola	Weligepola	dsd	34168	16987	17181	6993	20348	1931	4896
LK-9148	Embilipitiya	Embilipitiya	dsd	160008	78481	81527	36919	97154	7855	18080
LK-9151	Kolonna	Kolonna	dsd	50068	24937	25131	11067	29794	2736	6471
LK-91XX	Kalthota	Kalthota	dsd	13018	6440	6578	2772	7588	759	1899
LK-92	Kegalle	Kegalle District	district	870476	416078	454398	171285	515832	51878	131481
LK-9203	Rambukkana	Rambukkana	dsd	87055	41309	45746	16776	51064	5388	13827
LK-9206	Mawanella	Mawanella	dsd	126026	59753	66273	28192	73691	7298	16845
LK-9209	Aranayaka	Aranayaka	dsd	69075	32609	36466	14146	39439	4465	11025
LK-9212	Kegalle	Kegalle	dsd	94314	44608	49706	17501	55991	5789	15033
LK-9215	Galigamuwa	Galigamuwa	dsd	73778	35048	38730	13502	43392	4786	12098
LK-9218	Warakapola	Warakapola	dsd	117967	56128	61839	22469	70212	6984	18302
LK-9221	Ruwanwella	Ruwanwella	dsd	65797	31671	34126	12626	39386	3798	9987
LK-9224	Bulathkohupitiya	Bulathkohupitiya	dsd	45237	21696	23541	8490	26726	2845	7176
LK-9227	Yatiyanthota	Yatiyanthota	dsd	62255	30352	31903	12487	37252	3438	9078
LK-9230	Dehiovita	Dehiovita	dsd	84967	41523	43444	16341	52584	4535	11507
LK-9233	Deraniyagala	Deraniyagala	dsd	44005	21381	22624	8755	26095	2552	6603
