region_id	region_name	region_name_in_data	region_ent_type	total	tile	asbestos	concrete	zinc_aluminium_sheets	metal_sheets	kadjan_or_palmyrah_or_straw	other	not_relevant
LK-7154	Kekirawa	Kekirawa	dsd	18082	3328	13686	653	84	204	123	3	1
LK-7157	Palugaswewa	Palugaswewa	dsd	5145	1447	3478	89	29	48	52	2	0
LK-7160	Ipalogama	Ipalogama	dsd	12338	3537	8204	229	63	148	153	4	0
LK-7163	Galnewa	Galnewa	dsd	11372	3492	7294	207	53	130	187	9	0
LK-7166	Palagala	Palagala	dsd	11061	3819	6509	264	77	241	146	5	0
LK-72	Polonnaruwa	Polonnaruwa District	district	126482	22589	95450	3642	1263	2063	1408	59	8
LK-7203	Hingurakgoda	Hingurakgoda	dsd	20141	3254	15512	542	134	371	320	6	2
LK-7206	Medirigiriya	Medirigiriya	dsd	20510	4020	15457	444	90	297	188	14	0
LK-7209	Lankapura	Lankapura	dsd	11364	2442	8276	345	66	142	87	6	0
LK-7210	Welikanda	Welikanda	dsd	11005	2691	7792	149	89	188	87	4	5
LK-7212	Dimbulagala	Dimbulagala	dsd	24257	3741	19041	354	261	541	309	10	0
LK-7215	Thamankaduwa	Thamankaduwa	dsd	25158	3776	18714	1562	568	284	238	16	0
LK-7218	Elahera	Elahera	dsd	14047	2665	10658	246	55	240	179	3	1
LK-81	Badulla	Badulla District	district	239417	31119	153498	14710	6325	20100	13576	72	17
LK-8103	Mahiyanganaya	Mahiyanganaya	dsd	25173	6656	16629	901	363	217	398	7	2
LK-8106	Rideemaliyadda	Rideemaliyadda	dsd	17251	6670	9807	239	100	169	257	7	2
LK-8109	Meegahakivula	Meegahakivula	dsd	6396	790	4662	185	88	547	123	1	0
LK-8112	Kandaketiya	Kandaketiya	dsd	7410	1305	5517	221	98	193	74	2	0
LK-8115	Soranathota	Soranathota	dsd	6781	591	4710	238	250	558	434	0	0
LK-8118	Passara	Passara	dsd	13500	776	7958	495	300	2609	1358	2	2
LK-8119	Lunugala	Lunugala	dsd	8885	430	4892	151	220	1939	1249	3	1
LK-8121	Badulla	Badulla	dsd	21528	399	15108	2680	837	1351	1143	9	1
LK-8124	Hali-Ela	- Hali-Ela	dsd	25945	1482	17751	1344	475	2720	2170	3	0
LK-8127	Uva Paranagama	Uva Paranagama	dsd	22605	3836	14492	1221	683	1688	671	13	1
LK-8130	Welimada	Welimada	dsd	28668	4007	18983	2397	931	1026	1310	10	4
LK-8133	Bandarawela	Bandarawela	dsd	17973	1274	12055	1963	301	1429	949	1	1
LK-8136	Ella	Ella	dsd	13052	1251	7618	1195	572	1357	1056	3	0
LK-8139	Haputale	Haputale	dsd	13280	689	7465	1095	755	2355	918	2	1
LK-8142	Haldummulla	Haldummulla	dsd	10970	963	5851	385	352	1942	1466	9	2
LK-82	Moneragala	Monaragala District	district	150728	59286	79322	4164	708	3612	3531	91	14
LK-8203	Bibile	Bibile	dsd	13645	5114	7624	243	132	288	237	7	0
LK-8206	Madulla	Madulla	dsd	10309	6170	3691	183	27	211	23	3	1
LK-8209	Medagama	Medagama	dsd	12316	5364	6268	310	56	215	100	3	0
LK-8212	Siyambalanduwa	Siyambalanduwa	dsd	17784	8550	8238	299	49	389	252	6	1
LK-8215	Moneragala	Moneragala	dsd	15888	5385	8356	606	219	593	723	3	3
LK-8218	Badalkumbura	Badalkumbura	dsd	13219	3584	7939	369	64	787	470	5	1
LK-8221	Wellawaya	Wellawaya	dsd	21409	6649	12582	881	52	324	895	21	5
LK-8224	Buttala	Buttala	dsd	17488	6472	9780	441	30	466	292	6	1
LK-8227	Katharagama	Katharagama	dsd	5324	1451	3412	176	17	32	222	13	1
LK-8230	Thanamalvila	Thanamalvila	dsd	9468	4249	4700	217	33	155	108	6	0
LK-8233	Sevanagala	Sevanagala	dsd	13878	6298	6732	439	29	152	209	18	1
LK-91	Ratnapura	Rathnapura District	district	324853	72797	213350	12116	2200	12752	11529	93	16
LK-9103	Eheliyagoda	Eheliyagoda	dsd	20297	1909	16623	725	87	274	671	7	1
LK-9106	Kuruvita	Kuruvita	dsd	26914	2125	22317	762	122	671	913	4	0
LK-9109	Kiriella	Kiriella	dsd	9606	1231	7521	273	36	300	245	0	0
LK-9112	Ratnapura	Ratnapura	dsd	33231	2538	24912	1769	259	2675	1064	8	6
LK-9115	Imbulpe	Imbulpe	dsd	18205	1838	13835	611	84	805	1023	8	1
LK-9118	Balangoda	Balangoda	dsd	20998	2185	16289	952	173	949	446	1	3
LK-9121	Opanayake	Opanayake	dsd	8102	2944	4145	308	53	350	298	4	0
LK-9124	Pelmadulla	Pelmadulla	dsd	26068	4175	17799	1122	378	1282	1306	3	3
LK-9127	Elapatha	Elapatha	dsd	10784	2018	7771	194	32	441	324	4	0
LK-9130	Ayagama	Ayagama	dsd	8847	1602	5967	182	51	483	553	9	0
LK-9133	Kalawana	Kalawana	dsd	15099	2141	11699	520	115	316	302	5	1
LK-9136	Nivithigala	Nivithigala	dsd	16642	2256	11736	435	177	1373	656	9	0
LK-9139	Kahawatta	Kahawatta	dsd	12358	2343	7480	535	93	625	1278	4	0
LK-9142	Godakawela	Godakawela	dsd	22586	7338	11812	1026	368	645	1394	2	1
LK-9145	Weligepola	Weligepola	dsd	10598	4930	5078	235	29	188	133	5	0
LK-9148	Embilipitiya	Embilipitiya	dsd	45752	23946	18813	1773	99	546	555	20	0
LK-9151	Kolonna	Kolonna	dsd	14773	6279	6797	640	40	717	300	0	0
LK-91XX	Kalthota	Kalthota	dsd	3993	999	2756	54	4	112	68	0	0
LK-92	Kegalle	Kegalle District	district	242027	76275	131448	14232	3432	8259	8302	53	26
LK-9203	Rambukkana	Rambukkana	dsd	24601	11031	11183	1300	194	598	289	6	0
LK-9206	Mawanella	Mawanella	dsd	33009	9189	17926	4616	401	410	462	0	5
LK-9209	Aranayaka	Aranayaka	dsd	19811	7403	9904	1333	234	463	470	3	1
LK-9212	Kegalle	Kegalle	dsd	26532	9348	13863	1876	331	503	606	1	4
LK-9215	Galigamuwa	Galigamuwa	dsd	21095	9213	9706	870	266	383	655	1	1
LK-9218	Warakapola	Warakapola	dsd	32191	16056	13196	1399	236	420	870	9	5
LK-9221	Ruwanwella	Ruwanwella	dsd	18290	5384	10687	706	188	738	578	4	5
LK-9224	Bulathkohupitiya	Bulathkohupitiya	dsd	12895	2976	7553	343	350	718	947	7	1
LK-9227	Yatiyanthota	Yatiyanthota	dsd	17393	1846	11583	648	329	1829	1147	10	1
LK-9230	Dehiovita	Dehiovita	dsd	23238	2522	16951	863	419	1195	1279	6	3
LK-9233	Deraniyagala	Deraniyagala	dsd	12972	1307	8896	278	484	1002	999	6	0
