region_id	region_name	region_name_in_data	region_ent_type	total	within_the_unit-exclusively_for_the_household	within_the_unit-sharing_with_another_household	outside_the_unit-exclusively_for_the_household	outside_the_unit-sharing_with_another_household	other-no_toilet_but_sharing_with_another_household	other-common_or_public_toilet	other-not_using_a_toilet
LK-7218	Elahera	Elahera	dsd	14222	5079	280	7755	757	328	1	22
LK-81	Badulla	Badulla District	district	248262	129879	11422	89014	12924	4466	190	367
LK-8103	Mahiyanganaya	Mahiyanganaya	dsd	25579	11697	969	10745	1402	674	3	89
LK-8106	Rideemaliyadda	Rideemaliyadda	dsd	17356	6670	457	8814	875	484	0	56
LK-8109	Meegahakivula	Meegahakivula	dsd	6583	2228	209	3544	445	131	2	24
LK-8112	Kandaketiya	Kandaketiya	dsd	7824	3470	548	3125	530	134	5	12
LK-8115	Soranathota	Soranathota	dsd	7195	3450	373	2656	561	146	3	6
LK-8118	Passara	Passara	dsd	14227	8366	669	4189	642	320	13	28
LK-8119	Lunugala	Lunugala	dsd	9422	5138	336	3123	562	234	11	18
LK-8121	Badulla	Badulla	dsd	22160	15648	882	4868	587	155	7	13
LK-8124	Hali-Ela	- Hali-Ela	dsd	27397	11154	1393	12256	1942	617	19	16
LK-8127	Uva Paranagama	Uva Paranagama	dsd	23299	12163	1406	8395	977	332	11	15
LK-8130	Welimada	Welimada	dsd	29620	16642	1281	9585	1535	524	30	23
LK-8133	Bandarawela	Bandarawela	dsd	18639	12025	796	5003	682	100	26	7
LK-8136	Ella	Ella	dsd	13704	6941	679	4985	838	230	19	12
LK-8139	Haputale	Haputale	dsd	13992	8350	722	3983	743	156	15	23
LK-8142	Haldummulla	Haldummulla	dsd	11265	5937	702	3743	603	229	26	25
LK-82	Moneragala	Monaragala District	district	151763	47621	2665	88745	7551	4605	62	514
LK-8203	Bibile	Bibile	dsd	13715	4286	197	8107	613	480	1	31
LK-8206	Madulla	Madulla	dsd	10326	2374	90	7264	287	256	1	54
LK-8209	Medagama	Medagama	dsd	12470	6230	371	5088	447	302	2	30
LK-8212	Siyambalanduwa	Siyambalanduwa	dsd	17865	3000	192	12511	1179	760	13	210
LK-8215	Moneragala	Moneragala	dsd	15981	8755	376	5823	503	466	19	39
LK-8218	Badalkumbura	Badalkumbura	dsd	13262	2737	84	9598	582	241	0	20
LK-8221	Wellawaya	Wellawaya	dsd	21590	6437	445	12656	1282	724	5	41
LK-8224	Buttala	Buttala	dsd	17706	5569	311	10166	1116	511	0	33
LK-8227	Katharagama	Katharagama	dsd	5395	1963	107	2776	256	262	15	16
LK-8230	Thanamalvila	Thanamalvila	dsd	9537	2212	320	6098	637	237	5	28
LK-8233	Sevanagala	Sevanagala	dsd	13916	4058	172	8658	649	366	1	12
LK-91	Ratnapura	Rathnapura District	district	327645	168014	8801	129647	12884	7643	324	332
LK-9103	Eheliyagoda	Eheliyagoda	dsd	20443	11662	608	7318	573	254	7	21
LK-9106	Kuruvita	Kuruvita	dsd	27041	16712	621	8483	638	545	28	14
LK-9109	Kiriella	Kiriella	dsd	9658	5256	239	3645	310	195	3	10
LK-9112	Ratnapura	Ratnapura	dsd	33423	21356	797	9582	993	633	34	28
LK-9115	Imbulpe	Imbulpe	dsd	18690	10421	880	6258	746	367	7	11
LK-9118	Balangoda	Balangoda	dsd	21276	12352	592	7109	870	312	17	24
LK-9121	Opanayake	Opanayake	dsd	8139	4006	181	3358	389	197	2	6
LK-9124	Pelmadulla	Pelmadulla	dsd	26300	14311	859	9385	993	676	55	21
LK-9127	Elapatha	Elapatha	dsd	10904	4339	322	5325	631	271	8	8
LK-9130	Ayagama	Ayagama	dsd	8897	2680	123	5305	350	361	52	26
LK-9133	Kalawana	Kalawana	dsd	15180	7817	402	5825	745	362	15	14
LK-9136	Nivithigala	Nivithigala	dsd	16782	6619	438	8099	980	598	31	17
LK-9139	Kahawatta	Kahawatta	dsd	12482	6755	572	4310	473	323	11	38
LK-9142	Godakawela	Godakawela	dsd	22908	10482	594	9739	1198	857	6	32
LK-9145	Weligepola	Weligepola	dsd	10677	2497	161	7109	588	304	2	16
LK-9148	Embilipitiya	Embilipitiya	dsd	45965	24741	983	17950	1381	869	12	29
LK-9151	Kolonna	Kolonna	dsd	14854	4461	271	8848	782	452	31	9
LK-91XX	Kalthota	Kalthota	dsd	4026	1547	158	1999	244	67	3	8
LK-92	Kegalle	Kegalle District	district	244037	156414	5426	73283	5721	2877	77	239
LK-9203	Rambukkana	Rambukkana	dsd	24842	17701	568	5829	477	241	1	25
LK-9206	Mawanella	Mawanella	dsd	33333	24683	697	7195	531	205	5	17
LK-9209	Aranayaka	Aranayaka	dsd	20062	12042	434	6831	570	165	4	16
LK-9212	Kegalle	Kegalle	dsd	26825	18477	562	6920	572	266	8	20
LK-9215	Galigamuwa	Galigamuwa	dsd	21224	13273	293	7074	379	186	2	17
LK-9218	Warakapola	Warakapola	dsd	32379	18509	651	11996	828	365	4	26
LK-9221	Ruwanwella	Ruwanwella	dsd	18370	11918	271	5362	431	353	7	28
LK-9224	Bulathkohupitiya	Bulathkohupitiya	dsd	12978	6474	343	5529	384	218	14	16
LK-9227	Yatiyanthota	Yatiyanthota	dsd	17541	10892	506	5334	473	309	7	20
LK-9230	Dehiovita	Dehiovita	dsd	23403	15627	777	6035	583	338	13	30
LK-9233	Deraniyagala	Deraniyagala	dsd	13080	6818	324	5178	493	231	12	24
