region_id	region_name	region_name_in_data	region_ent_type	total	single_house_single_storeyed	single_house_two_storeyed	single_house_more_than_two_storeyed	attached_house_1st_floor	attached_house_2nd_floor	attached_house_3rd_or_4th_floor	attached_house_5th_to_10th_floor	attached_house_11th_to_19th_floor	attached_house_from_20th_floor_or_more	other
LK-6239	Mahawewa	Mahawewa	dsd	14662	13814	815	11	6	8	2	2	0	0	4
LK-6242	Nattandiya	Nattandiya	dsd	19220	17595	1545	32	23	7	3	13	0	0	2
LK-6245	Wennappuwa	Wennappuwa	dsd	19695	17577	1961	25	75	33	11	0	0	0	13
LK-6248	Dankotuwa	Dankotuwa	dsd	18761	17564	1089	28	39	24	6	1	0	0	10
LK-71	Anuradhapura	Anuradhapura District	district	271408	254764	15511	330	426	330	30	0	0	0	17
LK-7103	Padaviya	Padaviya	dsd	7164	7025	138	1	0	0	0	0	0	0	0
LK-7106	Kebithigollewa	Kebithigollewa	dsd	7625	7487	134	1	2	0	1	0	0	0	0
LK-7109	Medawachchiya	Medawachchiya	dsd	15056	14515	528	8	1	3	0	0	0	0	1
LK-7112	Mahawilachchiya	Mahawilachchiya	dsd	7081	6935	143	1	2	0	0	0	0	0	0
LK-7115	Nuwaragam Palatha Central	Nuwaragam Palatha Central	dsd	19849	18527	1269	25	19	7	1	0	0	0	1
LK-7118	Rambewa	Rambewa	dsd	11382	11038	324	2	10	8	0	0	0	0	0
LK-7121	Kahatagasdigiliya	Kahatagasdigiliya	dsd	12483	12030	440	2	4	5	0	0	0	0	2
LK-7124	Horowpothana	Horowpothana	dsd	11190	10906	259	16	8	0	0	0	0	0	1
LK-7127	Galenbindunuwewa	Galenbindunuwewa	dsd	14371	13786	556	9	7	10	1	0	0	0	2
LK-7130	Mihinthale	Mihinthale	dsd	11419	10378	981	9	30	18	3	0	0	0	0
LK-7133	Nuwaragam Palatha East	Nuwaragam Palatha East	dsd	21194	16754	3919	143	190	164	21	0	0	0	3
LK-7136	Nachchaduwa	Nachchaduwa	dsd	8180	7574	511	10	63	21	0	0	0	0	1
LK-7139	Nochchiyagama	Nochchiyagama	dsd	15943	15281	649	8	3	1	0	0	0	0	1
LK-7142	Rajanganaya	Rajanganaya	dsd	10677	10154	512	5	3	1	0	0	0	0	2
LK-7145	Thambuttegama	Thambuttegama	dsd	13271	12151	1013	14	43	47	1	0	0	0	2
LK-7148	Thalawa	Thalawa	dsd	17628	16649	947	23	4	5	0	0	0	0	0
LK-7151	Thirappane	Thirappane	dsd	8897	8494	384	6	9	4	0	0	0	0	0
LK-7154	Kekirawa	Kekirawa	dsd	18082	16819	1200	27	15	18	2	0	0	0	1
LK-7157	Palugaswewa	Palugaswewa	dsd	5145	4917	211	4	5	8	0	0	0	0	0
LK-7160	Ipalogama	Ipalogama	dsd	12338	11726	598	5	4	5	0	0	0	0	0
LK-7163	Galnewa	Galnewa	dsd	11372	10942	419	4	2	5	0	0	0	0	0
LK-7166	Palagala	Palagala	dsd	11061	10676	376	7	2	0	0	0	0	0	0
LK-72	Polonnaruwa	Polonnaruwa District	district	126482	118981	6958	229	155	63	87	1	0	0	8
LK-7203	Hingurakgoda	Hingurakgoda	dsd	20141	18597	1475	43	14	9	1	0	0	0	2
LK-7206	Medirigiriya	Medirigiriya	dsd	20510	19385	1046	43	13	10	13	0	0	0	0
LK-7209	Lankapura	Lankapura	dsd	11364	10797	544	10	9	4	0	0	0	0	0
LK-7210	Welikanda	Welikanda	dsd	11005	10784	208	8	0	0	0	0	0	0	5
LK-7212	Dimbulagala	Dimbulagala	dsd	24257	23537	702	15	3	0	0	0	0	0	0
LK-7215	Thamankaduwa	Thamankaduwa	dsd	25158	22492	2341	99	114	38	73	1	0	0	0
LK-7218	Elahera	Elahera	dsd	14047	13389	642	11	2	2	0	0	0	0	1
LK-81	Badulla	Badulla District	district	239417	195196	20112	2138	19950	1268	736	0	0	0	17
LK-8103	Mahiyanganaya	Mahiyanganaya	dsd	25173	23799	1317	33	16	4	2	0	0	0	2
LK-8106	Rideemaliyadda	Rideemaliyadda	dsd	17251	16819	410	18	2	0	0	0	0	0	2
LK-8109	Meegahakivula	Meegahakivula	dsd	6396	5868	240	4	283	1	0	0	0	0	0
LK-8112	Kandaketiya	Kandaketiya	dsd	7410	6869	343	14	184	0	0	0	0	0	0
LK-8115	Soranathota	Soranathota	dsd	6781	6023	424	32	291	8	3	0	0	0	0
LK-8118	Passara	Passara	dsd	13500	9856	973	86	2456	72	55	0	0	0	2
LK-8119	Lunugala	Lunugala	dsd	8885	5906	217	63	2544	75	79	0	0	0	1
LK-8121	Badulla	Badulla	dsd	21528	14684	4421	540	1373	438	71	0	0	0	1
LK-8124	Hali-Ela	- Hali-Ela	dsd	25945	18834	2316	188	4220	269	118	0	0	0	0
LK-8127	Uva Paranagama	Uva Paranagama	dsd	22605	20344	1236	79	902	27	16	0	0	0	1
LK-8130	Welimada	Welimada	dsd	28668	24927	2378	237	1023	56	43	0	0	0	4
LK-8133	Bandarawela	Bandarawela	dsd	17973	13280	2645	491	1185	130	241	0	0	0	1
LK-8136	Ella	Ella	dsd	13052	9639	1274	144	1858	89	48	0	0	0	0
LK-8139	Haputale	Haputale	dsd	13280	9419	1421	179	2143	80	37	0	0	0	1
LK-8142	Haldummulla	Haldummulla	dsd	10970	8929	497	30	1470	19	23	0	0	0	2
LK-82	Moneragala	Monaragala District	district	150728	142586	7068	217	682	116	45	0	0	0	14
LK-8203	Bibile	Bibile	dsd	13645	12842	655	26	105	14	3	0	0	0	0
LK-8206	Madulla	Madulla	dsd	10309	9866	433	8	1	0	0	0	0	0	1
LK-8209	Medagama	Medagama	dsd	12316	11774	438	8	70	20	6	0	0	0	0
LK-8212	Siyambalanduwa	Siyambalanduwa	dsd	17784	17373	388	11	11	0	0	0	0	0	1
LK-8215	Moneragala	Moneragala	dsd	15888	14499	1232	42	74	20	18	0	0	0	3
LK-8218	Badalkumbura	Badalkumbura	dsd	13219	12263	591	24	333	7	0	0	0	0	1
LK-8221	Wellawaya	Wellawaya	dsd	21409	20223	1047	27	54	37	16	0	0	0	5
LK-8224	Buttala	Buttala	dsd	17488	16640	795	29	14	9	0	0	0	0	1
LK-8227	Katharagama	Katharagama	dsd	5324	4950	355	12	3	2	1	0	0	0	1
LK-8230	Thanamalvila	Thanamalvila	dsd	9468	9188	255	9	11	5	0	0	0	0	0
LK-8233	Sevanagala	Sevanagala	dsd	13878	12968	879	21	6	2	1	0	0	0	1
LK-91	Ratnapura	Rathnapura District	district	324853	285973	26214	1609	10176	674	191	0	0	0	16
LK-9103	Eheliyagoda	Eheliyagoda	dsd	20297	18109	1958	78	111	34	6	0	0	0	1
LK-9106	Kuruvita	Kuruvita	dsd	26914	23967	2371	92	427	49	8	0	0	0	0
LK-9109	Kiriella	Kiriella	dsd	9606	8728	647	49	153	14	15	0	0	0	0
LK-9112	Ratnapura	Ratnapura	dsd	33231	26373	4509	410	1698	186	49	0	0	0	6
LK-9115	Imbulpe	Imbulpe	dsd	18205	16237	1294	82	574	16	1	0	0	0	1
LK-9118	Balangoda	Balangoda	dsd	20998	17832	2011	200	850	85	17	0	0	0	3
LK-9121	Opanayake	Opanayake	dsd	8102	7379	468	42	201	9	3	0	0	0	0
LK-9124	Pelmadulla	Pelmadulla	dsd	26068	22560	2038	148	1251	43	25	0	0	0	3
LK-9127	Elapatha	Elapatha	dsd	10784	9684	873	22	200	5	0	0	0	0	0
LK-9130	Ayagama	Ayagama	dsd	8847	7921	447	13	458	8	0	0	0	0	0
LK-9133	Kalawana	Kalawana	dsd	15099	13129	1208	58	631	52	20	0	0	0	1
LK-9136	Nivithigala	Nivithigala	dsd	16642	14510	1105	54	962	10	1	0	0	0	0
LK-9139	Kahawatta	Kahawatta	dsd	12358	10774	788	100	672	22	2	0	0	0	0
LK-9142	Godakawela	Godakawela	dsd	22586	19674	1559	85	1156	73	38	0	0	0	1
LK-9145	Weligepola	Weligepola	dsd	10598	10175	385	7	28	3	0	0	0	0	0
LK-9148	Embilipitiya	Embilipitiya	dsd	45752	41946	3545	118	84	55	4	0	0	0	0
LK-9151	Kolonna	Kolonna	dsd	14773	13064	930	49	718	10	2	0	0	0	0
LK-91XX	Kalthota	Kalthota	dsd	3993	3911	78	2	2	0	0	0	0	0	0
LK-92	Kegalle	Kegalle District	district	242027	201784	30451	1904	6895	811	156	0	0	0	26
LK-9203	Rambukkana	Rambukkana	dsd	24601	20770	3611	139	56	23	2	0	0	0	0
LK-9206	Mawanella	Mawanella	dsd	33009	25984	5789	416	426	337	52	0	0	0	5
LK-9209	Aranayaka	Aranayaka	dsd	19811	17203	2266	123	146	66	6	0	0	0	1
LK-9212	Kegalle	Kegalle	dsd	26532	20990	4686	463	217	135	37	0	0	0	4
LK-9215	Galigamuwa	Galigamuwa	dsd	21095	18203	2455	96	302	31	7	0	0	0	1
LK-9218	Warakapola	Warakapola	dsd	32191	27881	3822	213	222	42	6	0	0	0	5
LK-9221	Ruwanwella	Ruwanwella	dsd	18290	15873	1878	93	387	48	6	0	0	0	5
LK-9224	Bulathkohupitiya	Bulathkohupitiya	dsd	12895	10792	949	27	1114	9	3	0	0	0	1
LK-9227	Yatiyanthota	Yatiyanthota	dsd	17393	14283	1555	137	1349	57	11	0	0	0	1
LK-9230	Dehiovita	Dehiovita	dsd	23238	19294	2638	148	1081	49	25	0	0	0	3
LK-9233	Deraniyagala	Deraniyagala	dsd	12972	10511	802	49	1595	14	1	0	0	0	0
