region_id	region_name	region_ent_type	total_value	electricity_grid	kerosene_lamp	solar_grid	solar_standalone	bio_gas	generator	other
LK-8215085	Viharamulla	gnd	840	826	11	1	0	0	0	2
LK-9112100	Ketaliyampalla	gnd	840	831	3	0	2	0	0	4
LK-1224255	Bendiyamulla West	gnd	839	835	0	3	1	0	0	0
LK-6178025	Eriyagolla	gnd	839	826	12	0	1	0	0	0
LK-1224120	Keselwathugoda North	gnd	838	831	2	5	0	0	0	0
LK-3303045	Hathporuwa	gnd	838	805	19	0	0	0	0	14
LK-8221120	Ethiliwewa	gnd	838	797	37	0	0	0	0	4
LK-1303040	Paratta	gnd	837	825	9	0	0	0	0	3
LK-3134075	Arachchikanda	gnd	837	832	2	0	3	0	0	0
LK-8221145	Uva Kudaoya	gnd	837	802	25	1	1	0	0	8
LK-9151100	Ullinduwawa	gnd	837	822	12	0	2	0	0	1
LK-1203075	Wellaweediya	gnd	836	829	4	0	1	0	0	2
LK-1224475	Weliweriya West	gnd	836	825	5	1	1	0	0	4
LK-7133040	Thammennapura	gnd	836	824	6	6	0	0	0	0
LK-1109140	Thalahena South	gnd	835	828	1	0	1	0	0	5
LK-1221225	Hapugoda East	gnd	835	830	3	0	0	0	1	1
LK-5103005	Kathiraveli	gnd	835	669	163	0	0	1	0	2
LK-7206160	Medirigiriya	gnd	835	832	2	1	0	0	0	0
LK-1236080	Warakanatta	gnd	834	821	5	6	2	0	0	0
LK-5224075	Kalmunai 01B	gnd	834	827	7	0	0	0	0	0
LK-6227065	Nandimithrapura	gnd	834	813	18	1	2	0	0	0
LK-9227030	Yatiyanthota	gnd	834	828	6	0	0	0	0	0
LK-1218180	Wattala	gnd	833	823	6	2	1	0	0	1
LK-1233225	Webada West	gnd	833	830	0	0	1	0	0	2
LK-1221120	Indivitiya	gnd	832	817	7	1	1	0	1	5
LK-2218095	Palapathwala	gnd	832	824	7	0	0	0	0	1
LK-4512085	Pallikuda	gnd	832	743	89	0	0	0	0	0
LK-5224085	Kalmunai 01	gnd	832	816	16	0	0	0	0	0
LK-8103135	Elewela	gnd	832	815	15	0	0	0	0	2
LK-1103165	Maradana	gnd	831	830	0	0	0	0	0	1
LK-1309030	Thalagala East	gnd	831	819	10	1	0	0	0	1
LK-2130260	Wewathenna	gnd	831	822	7	0	2	0	0	0
LK-5327080	Jayanagar	gnd	831	815	11	0	0	3	0	2
LK-9148140	Walalgoda	gnd	831	803	26	0	1	1	0	0
LK-1236160	Kelaniya	gnd	830	826	3	0	0	0	0	1
LK-5109025	Kalkudah	gnd	830	801	27	0	0	0	0	2
LK-6242070	Mudukatuwa North	gnd	830	821	7	1	0	0	1	0
LK-8221140	Kithulkote	gnd	830	773	40	1	5	0	1	10
LK-1306075	Alubomulla East	gnd	829	819	7	3	0	0	0	0
LK-2130005	Mavilmada	gnd	829	819	8	2	0	0	0	0
LK-5124060	Kattankudy Division 6	gnd	829	814	6	6	1	0	0	2
LK-1206245	Madawala	gnd	828	823	5	0	0	0	0	0
LK-5106030	Meeravodai Muslim West	gnd	828	820	6	0	0	0	0	2
LK-6248095	Meda Haldanduwana	gnd	828	826	2	0	0	0	0	0
LK-9109080	Dodampe	gnd	828	805	21	0	1	0	0	1
LK-7215130	Sirisangabo Pedesa	gnd	827	818	9	0	0	0	0	0
LK-9218120	Tholangamuwa	gnd	827	819	6	0	0	0	0	2
LK-1224195	Bollatha North	gnd	826	818	3	5	0	0	0	0
LK-2130130	Thalwatta	gnd	826	824	0	1	0	0	0	1
LK-2314320	Kotiyagala	gnd	826	803	23	0	0	0	0	0
LK-3112155	Igala East	gnd	826	821	0	2	0	0	0	3
LK-7142035	Track 15	gnd	826	810	13	0	1	0	0	2
LK-9212120	Dikella	gnd	826	799	23	0	0	0	0	4
LK-3139025	Welipitimodara	gnd	825	814	7	3	0	1	0	0
LK-3139185	Ettiligoda South	gnd	825	811	8	3	0	0	0	3
LK-9136070	Uda Karavita	gnd	825	815	5	0	1	0	0	4
LK-1115145	Aradhana Kanda	gnd	824	823	1	0	0	0	0	0
LK-1227500	Pahala Thihariya	gnd	824	814	7	0	0	0	0	3
LK-2307575	Gonapitiya	gnd	824	801	21	0	1	0	1	0
LK-8119075	Madulsima	gnd	824	801	20	1	0	0	0	2
LK-9145145	Galpaya	gnd	824	777	23	0	2	0	0	22
LK-2130070	Mapanawathura	gnd	823	823	0	0	0	0	0	0
LK-9124090	Pottakanda	gnd	823	769	46	0	5	0	0	3
LK-1221170	Rilavulla	gnd	822	803	15	0	4	0	0	0
LK-5112105	Chenkalady-1	gnd	822	803	18	0	0	0	0	1
LK-5124020	Kattankudy Division 2 North	gnd	822	814	2	3	0	0	1	2
LK-5248040	Sarvodayapuram	gnd	822	771	51	0	0	0	0	0
LK-5315060	Andankulam	gnd	822	814	6	0	0	0	0	2
LK-9148080	Ranchamadama	gnd	822	769	46	5	1	0	0	1
LK-1303055	Sarikkamulla	gnd	821	821	0	0	0	0	0	0
LK-5112160	Vepavedduwan	gnd	821	673	140	0	5	0	0	3
LK-7154160	Maha Kekirawa	gnd	821	806	13	1	0	0	0	1
LK-1218040	Paranambalama	gnd	820	805	1	7	0	0	0	7
LK-1218195	Nayakakanda South	gnd	820	818	0	1	0	0	0	1
LK-2313325	Sandrinham	gnd	820	808	12	0	0	0	0	0
LK-3137015	Panvila Pahalagoda	gnd	820	814	2	0	2	0	0	2
LK-8230015	Aluthwewa	gnd	820	740	77	1	0	0	0	2
LK-9112035	Kudawa	gnd	820	802	17	0	1	0	0	0
LK-9206145	Kiringadeniya	gnd	820	818	0	0	0	0	0	2
LK-4118055	Urelu	gnd	819	805	13	0	0	0	0	1
LK-6242065	Weerahena West	gnd	819	813	1	1	0	0	0	4
LK-9115080	Muttettuwegama	gnd	819	809	7	0	1	0	0	2
LK-1118090	Padukka	gnd	818	793	12	10	3	0	0	0
LK-1215245	Walpitamulla	gnd	817	811	0	0	0	0	0	6
LK-1233305	Webada East	gnd	817	807	0	4	1	0	0	5
LK-1136110	Erewwala East	gnd	816	810	0	5	1	0	0	0
LK-2142050	Palledelthota	gnd	816	808	8	0	0	0	0	0
LK-2157125	Westhole	gnd	816	805	11	0	0	0	0	0
LK-5218145	Kallarichchel 02	gnd	816	802	13	0	0	0	0	1
LK-8121075	Badulla West	gnd	816	813	3	0	0	0	0	0
LK-5236135	Town Division 05	gnd	815	801	10	0	0	0	0	4
LK-9124115	Rilhena	gnd	815	806	4	1	0	0	0	4
LK-1224490	Weliweriya North	gnd	814	814	0	0	0	0	0	0
LK-8133065	Bandarawela West	gnd	814	809	5	0	0	0	0	0
LK-1206395	Ambalammulla	gnd	813	805	6	0	0	0	0	2
LK-3242170	Veherahena	gnd	813	805	1	1	4	0	0	2
LK-5327045	Naduthivu	gnd	813	780	33	0	0	0	0	0
LK-7209030	Jayapura	gnd	813	778	33	0	0	0	2	0
LK-1106155	Udumulla North	gnd	812	797	11	2	0	0	0	2
LK-1136235	Suwarapola East	gnd	812	801	1	7	3	0	0	0
LK-6160135	Mawathagama	gnd	812	807	3	0	1	0	1	0
LK-9133075	Wewelkandura	gnd	812	802	8	1	1	0	0	0
LK-1206025	Bambukuliya	gnd	811	794	13	1	0	0	0	3
LK-3106010	Nanathota Palatha	gnd	811	800	6	0	0	0	0	5
LK-3109170	Diviyagahawela	gnd	811	796	14	0	0	0	0	1
LK-1203120	Pitipana North	gnd	810	793	5	5	4	0	0	3
LK-2112110	Galadeniya	gnd	810	803	4	0	0	0	0	3
LK-3139110	Galwadugoda	gnd	810	785	4	21	0	0	0	0
LK-4118150	Achchuveli South	gnd	810	783	25	0	0	0	0	2
LK-5103055	Punanai East	gnd	810	694	114	1	1	0	0	0
LK-5115015	Eravur 03	gnd	810	789	21	0	0	0	0	0
LK-5324070	Kurinchakerny	gnd	810	764	42	0	1	0	0	3
LK-7133110	Kawarakkulama	gnd	810	798	9	0	0	0	0	3
LK-8103045	Pahala Rathkinda	gnd	810	744	63	2	1	0	0	0
LK-1115205	Hanwella Town	gnd	809	799	7	1	1	0	0	1
LK-3303035	Samajasewapura	gnd	809	788	13	0	2	0	0	6
LK-3303050	Weniwel Ara	gnd	809	790	10	0	0	0	0	9
LK-7115150	Theppankulama	gnd	809	799	10	0	0	0	0	0
LK-9121045	Opanayaka	gnd	809	797	7	0	0	0	0	5
LK-4509010	Ambalkulam	gnd	808	779	29	0	0	0	0	0
LK-9148075	Nindagam Pelessa	gnd	808	760	30	0	0	0	0	18
LK-1309165	Kumbuka West	gnd	807	795	2	6	0	1	0	3
LK-6151160	Aswedduma	gnd	807	798	3	4	1	0	0	1
LK-7206005	Wedikachchiya	gnd	807	759	35	1	2	0	0	10
LK-1233425	Gongithota West	gnd	806	797	2	3	2	0	0	2
LK-3112205	Ella	gnd	806	794	9	1	0	0	0	2
LK-3318225	Yakagala	gnd	806	800	6	0	0	0	0	0
LK-5239110	Alayadivembu	gnd	806	759	47	0	0	0	0	0
LK-8103100	Dambana	gnd	806	677	121	2	1	0	0	5
LK-9106030	Bodhimaluwa	gnd	806	791	7	3	0	0	0	5
LK-2157020	Dandubediruppa	gnd	805	796	4	0	4	0	0	1
LK-8121005	Pitawelagama	gnd	805	799	1	0	1	0	0	4
LK-9133035	Thapassarakanda	gnd	805	795	7	1	0	0	1	1
LK-1133100	Moratumulla North	gnd	804	803	0	1	0	0	0	0
LK-2303065	Frotoft	gnd	804	766	24	0	12	0	1	1
LK-4130035	Navatkuli West	gnd	804	790	13	0	0	0	0	1
LK-6154095	Bamunugedara	gnd	804	797	5	0	1	0	1	0
LK-9124145	Pelmadullagama	gnd	804	798	2	0	0	0	0	4
LK-9127050	Elapatha	gnd	804	785	17	0	0	0	0	2
LK-1239185	Pattivila North	gnd	803	797	5	1	0	0	0	0
LK-1239215	Pattivila South	gnd	802	797	4	0	0	0	0	1
LK-2303375	Labukele	gnd	802	795	4	1	1	0	0	1
LK-3206020	Kandilpana	gnd	802	783	16	0	1	0	0	2
LK-1206110	Thimbirigaskatuwa	gnd	801	780	7	13	0	0	0	1
LK-1209315	Kaluwarippuwa East - Dakuna	gnd	801	793	6	2	0	0	0	0
LK-2157145	Hydree	gnd	801	796	5	0	0	0	0	0
LK-3209075	Urubokka	gnd	801	790	6	1	2	0	0	2
LK-4309190	Rambaikulam	gnd	801	795	6	0	0	0	0	0
LK-3209150	Pasgoda	gnd	799	791	4	1	1	0	0	2
LK-4118085	Puttur West	gnd	799	769	20	0	0	0	0	10
LK-6154245	Madithiyawala	gnd	799	793	4	0	2	0	0	0
LK-7115160	Saliya Mawatha	gnd	799	798	1	0	0	0	0	0
LK-7148035	Karagahawewa	gnd	799	786	12	0	0	0	0	1
LK-7218125	Maluweyaya	gnd	799	790	8	0	0	0	0	1
LK-8106015	Welampele	gnd	799	755	43	0	0	0	0	1
LK-9103140	Mahingoda	gnd	799	785	14	0	0	0	0	0
LK-1203165	Siriwardana Pedesa	gnd	798	793	2	0	0	0	2	1
LK-1227080	Kalalpitiya	gnd	798	794	3	0	0	0	0	1
LK-2313320	Dayagama West	gnd	797	781	11	0	0	0	0	5
LK-5212090	Verenketagoda	gnd	797	774	13	1	0	0	0	9
LK-8103090	Galporuyaya	gnd	797	791	5	0	0	0	0	1
LK-1215370	Marapola	gnd	796	780	5	5	2	0	0	4
LK-2303250	Palagolla	gnd	796	762	33	1	0	0	0	0
LK-6230150	Weerakumandaluwa	gnd	796	788	8	0	0	0	0	0
LK-8124210	Morethota	gnd	796	778	17	0	0	0	0	1
LK-1215020	Nilpanagoda	gnd	795	790	2	1	0	0	0	2
LK-8215105	Horombuwa	gnd	795	769	18	2	4	0	0	2
LK-1115130	Kiriwandala South	gnd	794	791	3	0	0	0	0	0
LK-8233010	Habaraluwewa	gnd	794	776	11	1	2	0	0	4
LK-9106050	Devipahala	gnd	794	760	32	0	1	0	0	1
LK-9230090	Ihala Thaldoowa	gnd	794	786	6	0	0	0	0	2
LK-1236185	Sinharamulla	gnd	793	784	4	1	0	0	0	4
LK-2303400	Sheen	gnd	793	764	29	0	0	0	0	0
LK-8103150	Dambarawa	gnd	793	778	14	0	0	0	1	0
LK-1227470	Kamburagalla	gnd	792	785	4	3	0	0	0	0
LK-3309015	Uddhakandara	gnd	792	747	17	2	20	0	0	6
LK-7118110	Ikirigollewa	gnd	792	783	8	0	0	0	0	1
LK-8133070	Bandarawela East	gnd	792	791	1	0	0	0	0	0
LK-9230150	Rangegama	gnd	792	769	22	0	0	0	0	1
LK-7212120	Aralaganvila West	gnd	791	757	32	0	1	0	0	1
LK-2112175	Meegamawatta	gnd	790	777	11	0	0	0	1	1
LK-2130300	Bowalawatta	gnd	790	787	3	0	0	0	0	0
LK-3309025	Weerahela	gnd	790	745	19	0	1	0	0	25
LK-4409065	Thevipuram	gnd	790	752	23	2	1	0	1	11
LK-9221170	Wendala	gnd	790	784	5	1	0	0	0	0
LK-1215495	Wathumulla	gnd	789	782	4	1	1	0	1	0
LK-1218100	Kurukulawa North	gnd	789	780	4	1	4	0	0	0
LK-1233335	Eldeniya West	gnd	789	776	6	4	1	0	0	2
LK-5321080	Peraru East	gnd	789	737	16	0	0	1	0	35
LK-1136055	Boralesgamuwa West B	gnd	788	782	0	3	0	3	0	0
LK-1212640	Kithanawatta	gnd	788	783	4	0	1	0	0	0
LK-1218130	Kerangapokuna	gnd	788	774	13	0	1	0	0	0
LK-2312220	Sandathenna	gnd	788	781	7	0	0	0	0	0
LK-8221060	Anapallama	gnd	788	756	29	0	3	0	0	0
LK-1239005	Pahala Biyanvila East	gnd	787	783	2	0	0	0	0	2
LK-1330240	Thalgasgoda	gnd	787	781	4	1	1	0	0	0
LK-9203205	Hurimaluwa	gnd	787	775	12	0	0	0	0	0
LK-1206285	Heenatiyana West	gnd	786	780	6	0	0	0	0	0
LK-1324365	Warapitiya	gnd	786	778	7	1	0	0	0	0
LK-3242235	Walgama	gnd	786	784	0	1	0	0	0	1
LK-1121135	Malapalla West	gnd	785	770	3	2	4	0	0	6
LK-1224310	Henarathgoda	gnd	785	765	0	17	1	0	0	2
LK-1239150	Ulahitiwala	gnd	785	777	6	0	0	0	0	2
LK-2313265	Rahanwatta	gnd	785	748	28	1	0	0	3	5
LK-6181100	Halwella	gnd	785	757	24	0	0	0	1	3
LK-8124155	Imbulgoda	gnd	785	782	1	0	1	0	0	1
LK-9112190	Dewalegawa	gnd	785	778	6	1	0	0	0	0
LK-1318030	Lenawara	gnd	784	777	7	0	0	0	0	0
LK-6239015	Thoduwawa North	gnd	784	782	2	0	0	0	0	0
LK-8130105	Dayaraba Watta	gnd	784	752	28	0	0	0	3	1
LK-2130320	Mahakanda	gnd	783	780	3	0	0	0	0	0
LK-5242030	Karalewa	gnd	783	763	15	0	1	0	1	3
LK-7154035	Maradankadawala	gnd	783	772	6	0	0	0	0	5
LK-9112095	Kahangama	gnd	783	767	14	0	0	0	0	2
LK-9148015	Panahaduwa	gnd	783	763	14	1	5	0	0	0
LK-1106170	Udumulla South	gnd	782	779	1	2	0	0	0	0
LK-1133115	Idama	gnd	782	771	1	6	0	1	1	2
LK-2206080	Nikawatawana	gnd	782	765	16	0	0	0	0	1
LK-2313025	Great Western	gnd	782	762	18	0	0	0	1	1
LK-8103130	Dehigolla	gnd	782	769	10	0	1	0	0	2
LK-8133030	Diganathenna	gnd	782	780	1	0	0	0	0	1
LK-8215110	Hulandawa South	gnd	782	773	9	0	0	0	0	0
LK-9203300	Imbulgasdeniya	gnd	782	769	13	0	0	0	0	0
LK-5315160	Kawattikuda	gnd	781	771	8	0	0	0	0	2
LK-9227020	Garagoda Pahala	gnd	781	770	5	0	0	0	1	5
LK-1303060	Henamulla	gnd	780	774	1	4	0	0	0	1
LK-9112115	Malwala	gnd	780	765	14	0	0	0	0	1
LK-1206370	Kotugoda	gnd	779	778	1	0	0	0	0	0
LK-1239235	Yabaraluwa South	gnd	779	767	3	0	1	0	0	8
LK-6203120	Paniyadiya	gnd	779	735	43	0	1	0	0	0
LK-1118170	Beruketiya	gnd	778	777	0	0	1	0	0	0
LK-1303235	Wekada West	gnd	778	753	8	12	4	0	0	1
LK-9142135	Balavinna West	gnd	778	760	9	2	2	0	0	5
LK-2313315	Lippakelle	gnd	777	768	7	0	0	2	0	0
LK-7130065	Ruwangama	gnd	777	756	15	0	4	0	0	2
LK-7203075	Moragaswewa	gnd	777	764	9	2	1	0	0	1
LK-8124135	Mugunumatha West	gnd	777	775	2	0	0	0	0	0
LK-1221070	Kanuwana	gnd	776	758	14	2	1	0	0	1
LK-1224410	Pahala Imbulgoda South	gnd	776	752	21	0	0	0	0	3
LK-2313355	Weverly	gnd	776	754	6	0	1	0	0	15
LK-2314185	Shanon	gnd	776	772	3	1	0	0	0	0
LK-9224065	Nevismiyar Ihala	gnd	776	759	14	0	0	0	0	3
LK-1112225	Siddamulla South	gnd	775	768	3	1	2	1	0	0
LK-1206290	Heenatiyana South	gnd	775	769	5	0	0	0	0	1
LK-2127285	Ihalawela	gnd	775	764	6	1	1	0	1	2
LK-2157090	Kendopitiya	gnd	775	768	6	0	0	0	0	1
LK-2309575	Senarathpura	gnd	775	755	16	0	3	0	0	1
LK-6218150	Tharakudivilluwa	gnd	775	754	14	0	1	0	0	6
LK-2127395	Wijaya Sri Gama	gnd	774	748	19	1	0	0	0	6
LK-3145215	Haliwala	gnd	774	769	1	0	0	0	0	4
LK-1133020	Soysapura South	gnd	773	772	0	0	0	0	0	1
LK-1309210	Gurugoda	gnd	773	771	1	0	0	0	0	1
LK-8230020	Hambegamuwa	gnd	773	763	6	0	0	0	0	4
LK-1303315	Pallimankada	gnd	772	770	0	0	0	0	0	2
LK-1306030	Alothiyawa	gnd	772	770	1	0	0	0	0	1
LK-1306025	Aluthgama	gnd	771	767	3	0	0	0	0	1
LK-1309275	Narthanagala	gnd	771	764	6	0	0	0	0	1
LK-2151180	Paradeka	gnd	771	756	15	0	0	0	0	0
LK-5121120	Kaanchirankudah	gnd	771	660	110	0	0	0	1	0
LK-1103140	Suduwella	gnd	770	767	0	0	0	0	0	3
LK-2130055	Aruppala West	gnd	770	769	1	0	0	0	0	0
LK-5306095	Irakkandy	gnd	770	765	4	0	0	0	0	1
LK-8221080	Andawelayaya	gnd	770	753	12	1	0	1	0	3
LK-8224025	Dikyaya	gnd	770	742	22	1	3	0	0	2
LK-1303275	Nallooruwa	gnd	769	765	4	0	0	0	0	0
LK-3206105	Kotapola North	gnd	769	752	10	2	0	0	0	5
LK-6130360	Bakmeegolla	gnd	769	761	6	1	0	0	0	1
LK-7115075	Mankadawala	gnd	769	760	9	0	0	0	0	0
LK-2315100	Ginigathhena	gnd	768	765	3	0	0	0	0	0
LK-6218020	Welusumanapura	gnd	768	740	22	0	0	0	0	6
LK-8133035	Ambegoda	gnd	768	760	5	0	0	0	0	3
LK-8139090	Glenanore	gnd	768	738	27	3	0	0	0	0
LK-9112235	Samagipura	gnd	768	750	17	0	0	0	0	1
LK-1109050	Welihinda	gnd	767	765	2	0	0	0	0	0
LK-1236045	Egoda Eriyawetiya	gnd	767	766	1	0	0	0	0	0
LK-1236155	Polhena	gnd	767	765	1	1	0	0	0	0
LK-6127220	Nikawehera	gnd	767	759	7	0	1	0	0	0
LK-3221190	Denipitiya East	gnd	766	756	7	0	0	0	0	3
LK-4136045	Reclamation West	gnd	766	762	4	0	0	0	0	0
LK-4509100	Barathipuram	gnd	766	723	36	1	0	0	0	6
LK-7215235	Ganangolla	gnd	766	743	12	0	1	0	0	10
LK-8136120	Heeloya	gnd	766	758	7	0	0	0	0	1
LK-9106145	Delgamuwa	gnd	766	754	11	0	0	0	0	1
LK-9109065	Idangoda	gnd	766	747	4	1	3	0	0	11
LK-1233400	Dalupitiya South	gnd	765	762	0	1	1	0	0	1
LK-2309390	Maha Uva	gnd	765	731	25	0	1	0	0	8
LK-8133040	Wewathenna	gnd	765	762	3	0	0	0	0	0
LK-8142025	Viharagala	gnd	765	752	11	0	0	0	0	2
LK-9106190	Kosgoda	gnd	765	761	4	0	0	0	0	0
LK-1112025	Batawala	gnd	764	761	2	0	0	0	0	1
LK-1303120	Hirana	gnd	764	758	4	0	0	0	0	2
LK-1324215	Marakkalahawatta	gnd	764	763	0	0	0	0	0	1
LK-2127115	Menikhinna	gnd	764	755	7	0	0	0	0	2
LK-7145005	Kongollewa	gnd	764	745	15	0	0	0	0	4
LK-8121080	Katupelella	gnd	764	763	1	0	0	0	0	0
LK-9106120	Pahala Kuruvita	gnd	764	742	14	0	0	0	0	8
LK-9139055	Atakalanpanna	gnd	764	744	17	0	0	0	0	3
LK-1109100	Dedigamuwa	gnd	763	761	1	0	0	0	0	1
LK-1203060	Kudapaduwa	gnd	763	758	1	4	0	0	0	0
LK-2127345	Galmaduwa	gnd	763	750	2	4	0	0	0	7
LK-6142170	Kaduruwewa	gnd	763	755	7	0	0	0	0	1
LK-6218135	Udappuwa	gnd	763	742	17	1	0	0	0	3
LK-2130310	Uda Peradeniya	gnd	762	752	7	1	0	0	0	2
LK-6242020	Dunkannawa	gnd	762	749	13	0	0	0	0	0
LK-8139075	Panketiya	gnd	762	748	12	0	0	0	0	2
LK-1206365	Lansiyawadiya	gnd	761	761	0	0	0	0	0	0
LK-1233230	Kirillawala North	gnd	761	733	3	17	4	0	0	4
LK-1239230	Yabaraluwa North	gnd	761	757	1	1	0	0	0	2
LK-2151200	Galatha	gnd	761	738	22	0	0	0	0	1
LK-2151245	Mawathura	gnd	761	753	6	0	2	0	0	0
LK-2154025	Wallahagoda	gnd	761	755	1	2	0	0	0	3
LK-4309145	Rejendrankulam	gnd	761	722	32	0	4	0	3	0
LK-6166135	Kanumale	gnd	761	756	4	0	0	0	0	1
LK-7130040	Henewatta	gnd	761	755	4	0	0	0	0	2
LK-3206085	Kalugalahena	gnd	760	745	15	0	0	0	0	0
LK-3242260	Pamburana	gnd	760	758	1	1	0	0	0	0
LK-3303040	Weeriyagama	gnd	760	742	11	0	0	0	0	7
LK-6178265	Elabadagama West	gnd	760	749	10	1	0	0	0	0
LK-7218100	Elahera	gnd	760	733	22	0	3	0	1	1
LK-1203125	Pitipana Central	gnd	759	754	4	0	0	0	0	1
LK-1321100	Nugagoda	gnd	759	754	5	0	0	0	0	0
LK-2151065	Gampola East	gnd	759	749	10	0	0	0	0	0
LK-9221090	Kannattota	gnd	759	753	4	0	1	0	0	1
LK-9230070	Napawala	gnd	759	748	10	0	0	0	0	1
LK-1303355	Molligoda North	gnd	758	750	1	5	0	0	0	2
LK-1309005	Kotigamgoda	gnd	758	751	7	0	0	0	0	0
LK-3206025	Viharahena	gnd	758	748	7	0	1	0	0	2
LK-8224080	Konketiya	gnd	757	733	19	0	4	0	0	1
LK-8224095	Puhulkotuwa	gnd	757	754	2	0	0	0	0	1
LK-8224145	Rahathangama	gnd	757	613	57	1	86	0	0	0
LK-9230140	Welangalla	gnd	757	744	13	0	0	0	0	0
LK-1224325	Ihala Yagoda North	gnd	756	755	1	0	0	0	0	0
LK-1306220	Diganathuduwa	gnd	756	754	0	1	0	0	0	1
LK-1324055	Weragala	gnd	756	739	17	0	0	0	0	0
LK-5248015	Sinna Puthukkudiyiruppu	gnd	756	712	42	0	0	0	1	1
LK-1133205	Egoda Uyana Central	gnd	755	754	1	0	0	0	0	0
LK-1218160	Elakanda	gnd	755	752	1	0	0	0	0	2
LK-1224175	Horagolla North	gnd	755	755	0	0	0	0	0	0
LK-5136110	Eruvil East	gnd	755	724	31	0	0	0	0	0
LK-7212140	Kalukele	gnd	755	744	11	0	0	0	0	0
LK-1106200	Gothatuwa	gnd	754	751	1	0	1	0	0	1
LK-1124100	Gangodavila East	gnd	754	736	13	2	3	0	0	0
LK-5109035	Kannagipuram	gnd	754	723	28	1	0	0	0	2
LK-5233035	Oluvil 02	gnd	754	717	37	0	0	0	0	0
LK-6203090	Palakudawa	gnd	754	734	20	0	0	0	0	0
LK-6215010	Sirambiadiya	gnd	754	721	25	0	8	0	0	0
LK-1227380	Walpola	gnd	753	740	7	2	1	0	0	3
LK-1303225	Wekada East	gnd	753	749	3	1	0	0	0	0
LK-4203040	Pesalai South	gnd	753	748	5	0	0	0	0	0
LK-8103165	Pangaragammana	gnd	753	736	16	1	0	0	0	0
LK-9103035	Bopetta Didda	gnd	753	739	11	1	0	0	0	2
LK-2315030	Sellipigama	gnd	752	749	2	0	1	0	0	0
LK-3124240	Aluthwatta	gnd	752	742	9	0	0	0	0	1
LK-4312030	Sooduventhapulavu	gnd	752	705	31	0	1	0	0	15
LK-7218120	Atharagallewa	gnd	752	728	23	0	1	0	0	0
LK-8103050	Hobariyawa	gnd	752	743	6	0	1	0	0	2
LK-8124190	Wewelhinna	gnd	752	735	15	0	0	0	0	2
LK-8130120	Dambavinna	gnd	752	742	5	0	0	0	0	5
LK-8142020	Beragala	gnd	752	716	33	1	0	0	0	2
LK-9230115	Batangala	gnd	752	726	25	0	1	0	0	0
LK-1112220	Siddamulla North	gnd	751	742	1	7	1	0	0	0
LK-1215145	Peellawatta	gnd	751	747	2	0	1	0	0	1
LK-1321410	Weniwelketiya	gnd	751	749	1	0	0	0	0	1
LK-2154020	Herakola	gnd	751	742	9	0	0	0	0	0
LK-9215125	Bisowela	gnd	751	741	8	1	0	0	0	1
LK-1109240	Jayawadanagama	gnd	750	740	0	3	1	1	2	3
LK-2206185	Pohoranwewa	gnd	750	744	4	0	0	0	0	2
LK-3109105	Unagaswela	gnd	750	743	6	0	0	0	0	1
LK-3127060	Baddegama South	gnd	749	721	21	0	0	1	0	6
LK-5118030	Saththurukondan	gnd	749	703	43	0	1	0	0	2
LK-8121025	Andeniya	gnd	749	744	4	0	1	0	0	0
LK-9106115	Theppanawa Ihalagama	gnd	749	735	11	0	0	0	0	3
LK-1121050	Rukmale East B	gnd	748	743	1	2	2	0	0	0
LK-1206130	Mahahunupitiya East	gnd	748	735	12	0	0	0	0	1
LK-3106195	Andadola	gnd	748	739	6	0	0	0	0	3
LK-3139095	Dangedara East	gnd	748	737	0	2	8	0	0	1
LK-4509070	Krishnapuram	gnd	748	714	31	0	0	0	2	1
LK-7215200	Weera Pedesa	gnd	748	745	2	0	0	0	1	0
LK-1324125	Munhena	gnd	747	744	2	0	0	0	0	1
LK-2312055	Kandapola Central	gnd	747	740	5	0	0	0	0	2
LK-8106090	Uva Thissapura	gnd	747	725	17	0	1	0	0	4
LK-9221075	Imbulana	gnd	747	739	7	0	0	0	1	0
LK-1103170	Ibbanwala	gnd	746	737	2	0	0	0	4	3
LK-1118125	Udumulla	gnd	746	738	2	1	1	0	1	3
LK-1215415	Weediyawatta West	gnd	746	741	3	0	0	0	0	2
LK-3318195	Jandura	gnd	746	727	8	1	1	0	0	9
LK-6218045	Palasola	gnd	746	721	24	0	0	0	1	0
LK-2115045	Madulkele	gnd	745	728	13	0	1	0	1	2
LK-3224085	Kirimetimulla South	gnd	745	735	6	2	1	0	0	1
LK-8103140	Mahiyanganaya Town	gnd	745	741	3	0	0	0	0	1
LK-1306005	Kidelpitiya West	gnd	744	736	5	0	2	0	0	1
LK-1309105	Uduwa North	gnd	744	738	6	0	0	0	0	0
LK-6130335	Udawela	gnd	744	738	5	0	0	0	0	1
LK-8133045	Watagamuwa	gnd	744	741	3	0	0	0	0	0
LK-9124125	Pelmadulla Town	gnd	744	737	5	0	0	0	0	2
LK-9221095	Gonaramba	gnd	744	732	9	0	1	0	0	2
LK-9224115	Panapitiya	gnd	744	724	17	0	0	0	0	3
LK-3309135	Thissapura	gnd	743	720	14	0	2	0	0	7
LK-9112220	Godigamuwa	gnd	743	741	2	0	0	0	0	0
LK-1112330	Siyambalagoda South	gnd	742	740	2	0	0	0	0	0
LK-2154035	Gampolawela	gnd	742	731	9	0	0	2	0	0
