region_id	region_name	region_name_in_data	region_ent_type	total	cement	terrazzo_or_tile_or_granite_or_wood_or_titanium	concrete	mud	wood	sand	other	not_relevant
LK-7154	Kekirawa	Kekirawa	dsd	18082	11039	3516	3115	408	0	1	2	1
LK-7157	Palugaswewa	Palugaswewa	dsd	5145	3003	755	1176	208	1	0	2	0
LK-7160	Ipalogama	Ipalogama	dsd	12338	8405	1885	1691	352	0	4	1	0
LK-7163	Galnewa	Galnewa	dsd	11372	7179	1547	2207	433	1	5	0	0
LK-7166	Palagala	Palagala	dsd	11061	6641	1445	2439	516	2	17	1	0
LK-72	Polonnaruwa	Polonnaruwa District	district	126482	84382	19084	19906	2997	19	58	28	8
LK-7203	Hingurakgoda	Hingurakgoda	dsd	20141	12997	3966	2723	444	2	6	1	2
LK-7206	Medirigiriya	Medirigiriya	dsd	20510	12900	2971	4084	537	3	9	6	0
LK-7209	Lankapura	Lankapura	dsd	11364	8374	1454	1386	137	0	9	4	0
LK-7210	Welikanda	Welikanda	dsd	11005	8422	739	1588	235	3	9	4	5
LK-7212	Dimbulagala	Dimbulagala	dsd	24257	15998	2569	4808	871	4	3	4	0
LK-7215	Thamankaduwa	Thamankaduwa	dsd	25158	16716	5488	2646	277	7	19	5	0
LK-7218	Elahera	Elahera	dsd	14047	8975	1897	2671	496	0	3	4	1
LK-81	Badulla	Badulla District	district	239417	158881	41479	23868	14895	95	119	63	17
LK-8103	Mahiyanganaya	Mahiyanganaya	dsd	25173	15388	3436	4720	1619	1	3	4	2
LK-8106	Rideemaliyadda	Rideemaliyadda	dsd	17251	9819	1634	4037	1747	2	10	0	2
LK-8109	Meegahakivula	Meegahakivula	dsd	6396	4010	759	790	818	2	13	4	0
LK-8112	Kandaketiya	Kandaketiya	dsd	7410	4787	779	1006	831	2	3	2	0
LK-8115	Soranathota	Soranathota	dsd	6781	4523	1076	588	585	3	5	1	0
LK-8118	Passara	Passara	dsd	13500	10084	2015	698	688	6	6	1	2
LK-8119	Lunugala	Lunugala	dsd	8885	6946	716	605	607	2	2	6	1
LK-8121	Badulla	Badulla	dsd	21528	13157	7089	883	384	3	7	4	1
LK-8124	Hali-Ela	- Hali-Ela	dsd	25945	18024	4749	1989	1142	13	9	19	0
LK-8127	Uva Paranagama	Uva Paranagama	dsd	22605	15407	2769	2192	2218	8	7	3	1
LK-8130	Welimada	Welimada	dsd	28668	18638	5539	2769	1687	16	6	9	4
LK-8133	Bandarawela	Bandarawela	dsd	17973	11622	4846	1058	427	12	4	3	1
LK-8136	Ella	Ella	dsd	13052	9145	2112	1063	683	6	40	3	0
LK-8139	Haputale	Haputale	dsd	13280	9371	2732	676	487	11	1	1	1
LK-8142	Haldummulla	Haldummulla	dsd	10970	7960	1228	794	972	8	3	3	2
LK-82	Moneragala	Monaragala District	district	150728	90607	27069	23554	9365	37	57	25	14
LK-8203	Bibile	Bibile	dsd	13645	8382	2443	1948	859	2	10	1	0
LK-8206	Madulla	Madulla	dsd	10309	6310	1924	1366	702	3	3	0	1
LK-8209	Medagama	Medagama	dsd	12316	7958	1977	1585	790	0	2	4	0
LK-8212	Siyambalanduwa	Siyambalanduwa	dsd	17784	10040	2517	3702	1514	2	7	1	1
LK-8215	Moneragala	Moneragala	dsd	15888	9207	3669	1901	1096	8	2	2	3
LK-8218	Badalkumbura	Badalkumbura	dsd	13219	8346	2632	1559	666	4	6	5	1
LK-8221	Wellawaya	Wellawaya	dsd	21409	12085	3916	3868	1521	4	5	5	5
LK-8224	Buttala	Buttala	dsd	17488	10853	3166	2416	1034	6	5	7	1
LK-8227	Katharagama	Katharagama	dsd	5324	3294	1078	703	237	6	5	0	1
LK-8230	Thanamalvila	Thanamalvila	dsd	9468	5800	1328	1762	576	0	2	0	0
LK-8233	Sevanagala	Sevanagala	dsd	13878	8332	2419	2744	370	2	10	0	1
LK-91	Ratnapura	Rathnapura District	district	324853	214822	69734	28715	11298	101	105	62	16
LK-9103	Eheliyagoda	Eheliyagoda	dsd	20297	12973	5157	1711	446	4	3	2	1
LK-9106	Kuruvita	Kuruvita	dsd	26914	17547	6794	2133	417	13	7	3	0
LK-9109	Kiriella	Kiriella	dsd	9606	6806	1795	780	218	3	2	2	0
LK-9112	Ratnapura	Ratnapura	dsd	33231	22223	8618	1500	849	22	11	2	6
LK-9115	Imbulpe	Imbulpe	dsd	18205	12472	3329	1497	895	5	4	2	1
LK-9118	Balangoda	Balangoda	dsd	20998	13950	4584	1694	752	5	7	3	3
LK-9121	Opanayake	Opanayake	dsd	8102	5406	1468	811	406	5	4	2	0
LK-9124	Pelmadulla	Pelmadulla	dsd	26068	17875	5523	1779	850	6	29	3	3
LK-9127	Elapatha	Elapatha	dsd	10784	7488	2189	774	329	2	2	0	0
LK-9130	Ayagama	Ayagama	dsd	8847	6307	1392	860	279	3	3	3	0
LK-9133	Kalawana	Kalawana	dsd	15099	10364	3031	1278	420	2	1	2	1
LK-9136	Nivithigala	Nivithigala	dsd	16642	12025	2739	1234	629	9	3	3	0
LK-9139	Kahawatta	Kahawatta	dsd	12358	8223	2306	1048	777	1	2	1	0
LK-9142	Godakawela	Godakawela	dsd	22586	15355	4473	1811	918	11	13	4	1
LK-9145	Weligepola	Weligepola	dsd	10598	7002	1662	1187	735	5	2	5	0
LK-9148	Embilipitiya	Embilipitiya	dsd	45752	26545	11589	6462	1142	5	8	1	0
LK-9151	Kolonna	Kolonna	dsd	14773	9576	2667	1583	921	0	3	23	0
LK-91XX	Kalthota	Kalthota	dsd	3993	2685	418	573	315	0	1	1	0
LK-92	Kegalle	Kegalle District	district	242027	155123	62656	19023	4985	79	71	64	26
LK-9203	Rambukkana	Rambukkana	dsd	24601	15283	6796	1959	532	5	18	8	0
LK-9206	Mawanella	Mawanella	dsd	33009	19111	10448	2799	625	3	10	8	5
LK-9209	Aranayaka	Aranayaka	dsd	19811	12904	4241	1982	663	4	6	10	1
LK-9212	Kegalle	Kegalle	dsd	26532	14847	8769	2305	583	6	13	5	4
LK-9215	Galigamuwa	Galigamuwa	dsd	21095	13458	5627	1570	426	5	3	5	1
LK-9218	Warakapola	Warakapola	dsd	32191	19839	8990	2756	577	10	5	9	5
LK-9221	Ruwanwella	Ruwanwella	dsd	18290	11506	5030	1467	270	1	5	6	5
LK-9224	Bulathkohupitiya	Bulathkohupitiya	dsd	12895	9377	2085	1049	371	3	2	7	1
LK-9227	Yatiyanthota	Yatiyanthota	dsd	17393	13055	3170	858	286	18	3	2	1
LK-9230	Dehiovita	Dehiovita	dsd	23238	15842	5503	1490	381	10	5	4	3
LK-9233	Deraniyagala	Deraniyagala	dsd	12972	9901	1997	788	271	14	1	0	0
