region_id	region_name	region_name_in_data	region_ent_type	total	sinhalese	sri_lanka_tamil	indian_tamil_or_malaiyaga_thamilar	sri_lanka_moor_or_muslim	burgher	malay	sri_lanka_chetty	bharatha	veddhas	other
LK-6236	Madampe	Madampe	dsd	48994	44683	1235	175	2870	13	15	1	0	0	2
LK-6239	Mahawewa	Mahawewa	dsd	48833	47874	845	57	37	6	6	0	0	0	8
LK-6242	Nattandiya	Nattandiya	dsd	65500	55606	1814	100	7851	84	21	5	1	0	18
LK-6245	Wennappuwa	Wennappuwa	dsd	64768	62755	1656	181	83	47	8	6	0	0	32
LK-6248	Dankotuwa	Dankotuwa	dsd	62873	60840	1488	66	418	33	2	13	1	0	12
LK-71	Anuradhapura	Anuradhapura District	district	960080	870049	5063	412	83283	174	101	10	11	0	977
LK-7103	Padaviya	Padaviya	dsd	24493	24458	15	1	17	0	1	1	0	0	0
LK-7106	Kebithigollewa	Kebithigollewa	dsd	26432	23758	30	5	2633	3	0	1	1	0	1
LK-7109	Medawachchiya	Medawachchiya	dsd	52496	48765	213	15	3486	4	4	0	2	0	7
LK-7112	Mahawilachchiya	Mahawilachchiya	dsd	24194	24132	38	7	14	2	1	0	0	0	0
LK-7115	Nuwaragam Palatha Central	Nuwaragam Palatha Central	dsd	71529	64051	1047	102	6281	29	5	0	1	0	13
LK-7118	Rambewa	Rambewa	dsd	39861	34559	62	11	5216	4	5	1	2	0	1
LK-7121	Kahatagasdigiliya	Kahatagasdigiliya	dsd	44903	34262	195	21	10418	3	0	1	0	0	3
LK-7124	Horowpothana	Horowpothana	dsd	41261	29009	116	19	12114	0	2	0	0	0	1
LK-7127	Galenbindunuwewa	Galenbindunuwewa	dsd	51952	50079	73	7	1785	1	1	0	1	0	5
LK-7130	Mihinthale	Mihinthale	dsd	44107	41335	401	30	2260	17	58	0	0	0	6
LK-7133	Nuwaragam Palatha East	Nuwaragam Palatha East	dsd	76138	72698	313	17	3037	51	9	0	0	0	13
LK-7136	Nachchaduwa	Nachchaduwa	dsd	28266	24637	28	8	3589	0	3	0	0	0	1
LK-7139	Nochchiyagama	Nochchiyagama	dsd	55471	52819	243	18	2383	5	0	1	0	0	2
LK-7142	Rajanganaya	Rajanganaya	dsd	36236	36195	29	1	6	1	1	0	0	0	3
LK-7145	Thambuttegama	Thambuttegama	dsd	47061	46361	44	6	7	5	3	0	2	0	633
LK-7148	Thalawa	Thalawa	dsd	61216	60464	142	7	589	9	1	2	0	0	2
LK-7151	Thirappane	Thirappane	dsd	31121	28942	102	2	2071	1	0	0	1	0	2
LK-7154	Kekirawa	Kekirawa	dsd	65317	51070	1441	66	12706	30	1	1	0	0	2
LK-7157	Palugaswewa	Palugaswewa	dsd	18138	17827	188	7	13	6	0	0	1	0	96
LK-7160	Ipalogama	Ipalogama	dsd	41961	35444	120	41	6172	2	4	1	0	0	177
LK-7163	Galnewa	Galnewa	dsd	39458	36640	110	4	2700	1	2	0	0	0	1
LK-7166	Palagala	Palagala	dsd	38469	32544	113	17	5786	0	0	1	0	0	8
LK-72	Polonnaruwa	Polonnaruwa District	district	447530	402785	7394	94	36864	55	25	8	0	228	77
LK-7203	Hingurakgoda	Hingurakgoda	dsd	70651	69833	183	13	592	15	6	2	0	1	6
LK-7206	Medirigiriya	Medirigiriya	dsd	72482	70936	45	3	1486	8	3	0	0	1	0
LK-7209	Lankapura	Lankapura	dsd	39673	27079	31	16	12544	3	0	0	0	0	0
LK-7210	Welikanda	Welikanda	dsd	38196	28234	3312	6	6639	1	0	0	0	2	2
LK-7212	Dimbulagala	Dimbulagala	dsd	85907	82969	2669	10	34	1	0	1	0	222	1
LK-7215	Thamankaduwa	Thamankaduwa	dsd	92056	75353	1046	41	15561	25	16	4	0	2	8
LK-7218	Elahera	Elahera	dsd	48565	48381	108	5	8	2	0	1	0	0	60
LK-81	Badulla	Badulla District	district	872307	640625	81854	95686	52188	890	715	9	16	187	137
LK-8103	Mahiyanganaya	Mahiyanganaya	dsd	89082	86448	97	18	2336	6	5	1	1	169	1
LK-8106	Rideemaliyadda	Rideemaliyadda	dsd	60882	60675	135	38	25	0	1	0	1	6	1
LK-8109	Meegahakivula	Meegahakivula	dsd	22683	20859	251	1558	8	1	0	0	0	0	6
LK-8112	Kandaketiya	Kandaketiya	dsd	26913	25477	351	482	602	0	0	0	0	1	0
LK-8115	Soranathota	Soranathota	dsd	24407	19749	578	3809	251	8	5	1	1	1	4
LK-8118	Passara	Passara	dsd	49636	27268	6860	12776	2581	93	50	1	0	0	7
LK-8119	Lunugala	Lunugala	dsd	31881	12890	8567	9235	1147	22	15	0	0	2	3
LK-8121	Badulla	Badulla	dsd	83033	57434	5674	10991	8423	163	318	3	1	2	24
LK-8124	Hali-Ela	- Hali-Ela	dsd	94226	60374	17762	11424	4348	172	113	0	4	1	28
LK-8127	Uva Paranagama	Uva Paranagama	dsd	82069	69488	5860	4099	2481	132	5	0	2	0	2
LK-8130	Welimada	Welimada	dsd	105510	73138	8595	4092	19559	91	25	0	2	3	5
LK-8133	Bandarawela	Bandarawela	dsd	65488	47873	4867	8879	3626	121	104	0	1	1	16
LK-8136	Ella	Ella	dsd	49439	32465	7884	6785	2241	16	34	2	0	0	12
LK-8139	Haputale	Haputale	dsd	48280	24897	7675	11527	4081	43	38	0	3	0	16
LK-8142	Haldummulla	Haldummulla	dsd	38778	21590	6698	9973	479	22	2	1	0	1	12
LK-82	Moneragala	Moneragala District	district	527585	499366	14765	1249	12085	61	17	10	8	6	18
LK-8203	Bibile	Bibile	dsd	47266	44947	1069	23	1214	6	3	1	2	0	1
LK-8206	Madulla	Madulla	dsd	36446	36395	29	2	6	7	3	0	0	3	1
LK-8209	Medagama	Medagama	dsd	44614	37759	71	8	6769	2	0	1	3	0	1
LK-8212	Siyambalanduwa	Siyambalanduwa	dsd	63055	62902	76	30	44	2	0	0	0	1	0
LK-8215	Moneragala	Moneragala	dsd	56951	48766	7252	637	279	15	1	0	0	1	0
LK-8218	Badalkumbura	Badalkumbura	dsd	46595	39646	4292	476	2171	8	1	0	1	0	0
LK-8221	Wellawaya	Wellawaya	dsd	73280	71443	671	39	1116	1	3	2	1	1	3
LK-8224	Buttala	Buttala	dsd	60606	59686	471	8	426	9	1	1	1	0	3
LK-8227	Katharagama	Katharagama	dsd	18158	17345	744	18	45	1	3	0	0	0	2
LK-8230	Thanamalvila	Thanamalvila	dsd	31238	31159	52	7	7	8	0	2	0	0	3
LK-8233	Sevanagala	Sevanagala	dsd	49376	49318	38	1	8	2	2	3	0	0	4
LK-91	Ratnapura	Ratnapura District	district	1145423	1003515	91300	23991	25870	481	65	14	17	0	170
LK-9103	Eheliyagoda	Eheliyagoda	dsd	74071	66476	2496	1150	3881	39	14	2	2	0	11
LK-9106	Kuruvita	Kuruvita	dsd	97966	89932	5546	314	2089	55	10	0	3	0	17
LK-9109	Kiriella	Kiriella	dsd	33631	32533	353	731	12	1	0	0	0	0	1
LK-9112	Ratnapura	Ratnapura	dsd	121166	94950	16641	2396	7060	82	22	1	1	0	13
LK-9115	Imbulpe	Imbulpe	dsd	64555	55738	6296	2414	81	9	5	1	2	0	9
LK-9118	Balangoda	Balangoda	dsd	74893	55738	10053	2290	6699	107	0	1	2	0	3
LK-9121	Opanayake	Opanayake	dsd	27244	25144	1847	12	233	8	0	0	0	0	0
LK-9124	Pelmadulla	Pelmadulla	dsd	93818	80549	9435	3138	634	17	1	2	1	0	41
LK-9127	Elapatha	Elapatha	dsd	38429	36543	1364	462	46	13	0	0	0	0	1
LK-9130	Ayagama	Ayagama	dsd	29944	26188	2513	1227	11	0	2	0	1	0	2
LK-9133	Kalawana	Kalawana	dsd	50753	44601	4031	2083	22	5	0	0	0	0	11
LK-9136	Nivithigala	Nivithigala	dsd	59442	49350	8617	937	511	18	6	0	2	0	1
LK-9139	Kahawatta	Kahawatta	dsd	43708	33410	5716	3017	1515	13	2	0	1	0	34
LK-9142	Godakawela	Godakawela	dsd	78541	60788	11665	3309	2697	75	1	3	0	0	3
LK-9145	Weligepola	Weligepola	dsd	34168	33778	127	228	22	6	0	0	0	0	7
LK-9148	Embilipitiya	Embilipitiya	dsd	160008	159732	184	7	38	25	2	2	2	0	16
LK-9151	Kolonna	Kolonna	dsd	50068	45389	4390	275	8	5	0	1	0	0	0
LK-91XX	Kalthota	Kalthota	dsd	13018	12676	26	1	311	3	0	1	0	0	0
LK-92	Kegalle	Kegalle District	district	870476	736387	40484	21244	71794	179	117	9	7	5	250
LK-9203	Rambukkana	Rambukkana	dsd	87055	82564	976	44	3426	11	9	2	1	0	22
LK-9206	Mawanella	Mawanella	dsd	126026	82921	1280	178	41574	36	23	2	1	0	11
LK-9209	Aranayaka	Aranayaka	dsd	69075	62092	1397	96	5474	10	4	0	1	0	1
LK-9212	Kegalle	Kegalle	dsd	94314	90458	2370	169	1224	29	53	1	0	0	10
LK-9215	Galigamuwa	Galigamuwa	dsd	73778	69747	2642	223	1150	8	3	2	0	0	3
LK-9218	Warakapola	Warakapola	dsd	117967	106360	3728	156	7660	27	15	0	1	2	18
LK-9221	Ruwanwella	Ruwanwella	dsd	65797	56545	3366	1461	4254	5	0	1	2	0	163
LK-9224	Bulathkohupitiya	Bulathkohupitiya	dsd	45237	37426	4183	3541	80	5	0	0	0	1	1
LK-9227	Yatiyanthota	Yatiyanthota	dsd	62255	45611	6336	7217	3059	11	9	1	0	0	11
LK-9230	Dehiovita	Dehiovita	dsd	84967	68007	7583	5506	3856	5	1	0	1	2	6
LK-9233	Deraniyagala	Deraniyagala	dsd	44005	34656	6623	2653	37	32	0	0	0	0	4
