region_id	region_name	region_name_in_data	region_ent_type	total	brick	cement_block	granite_or_cube_stones	cabook	pressed_soil_bricks	mud_or_warichchi	kadjan_or_palmyrah	plank_or_metal_sheet_or_asbestos	zinc_aluminium_sheets	other	not_relevant
LK-6206	Vanathawilluwa	Vanathawilluwa	dsd	5846	2944	2052	5	3	184	311	150	174	20	1	2
LK-6209	Karuwalagaswewa	Karuwalagaswewa	dsd	7941	6688	861	4	7	112	223	8	26	11	1	0
LK-6212	Nawagattegama	Nawagattegama	dsd	5271	4756	379	3	1	34	77	6	8	4	3	0
LK-6215	Puttalam	Puttalam	dsd	23692	9092	13411	15	3	64	197	268	565	71	3	3
LK-6218	Mundel	Mundel	dsd	18707	10317	7038	17	3	28	37	832	392	37	1	5
LK-6221	Mahakumbukkadawala	Mahakumbukkadawala	dsd	6599	5435	831	3	0	42	109	56	114	3	0	6
LK-6224	Anamaduwa	Anamaduwa	dsd	12891	11655	897	5	5	57	214	9	44	3	1	1
LK-6227	Pallama	Pallama	dsd	8263	7559	397	3	3	27	69	67	128	6	2	2
LK-6230	Arachchikattuwa	Arachchikattuwa	dsd	12661	11083	1053	1	3	25	25	116	349	3	0	3
LK-6233	Chilaw	Chilaw	dsd	18494	14297	3328	7	25	34	36	100	656	5	2	4
LK-6236	Madampe	Madampe	dsd	14626	8834	5271	7	7	130	49	27	296	4	1	0
LK-6239	Mahawewa	Mahawewa	dsd	14662	10150	3708	68	17	52	27	31	597	8	0	4
LK-6242	Nattandiya	Nattandiya	dsd	19220	13708	4941	21	28	86	32	16	380	4	2	2
LK-6245	Wennappuwa	Wennappuwa	dsd	19695	14616	4837	4	10	54	11	4	143	2	1	13
LK-6248	Dankotuwa	Dankotuwa	dsd	18761	13553	4840	8	6	134	34	6	158	6	6	10
LK-71	Anuradhapura	Anuradhapura District	district	271408	222041	43652	138	76	1308	3614	36	407	77	42	17
LK-7103	Padaviya	Padaviya	dsd	7164	4887	1982	2	10	64	188	0	24	5	2	0
LK-7106	Kebithigollewa	Kebithigollewa	dsd	7625	6544	840	6	1	68	156	1	7	1	1	0
LK-7109	Medawachchiya	Medawachchiya	dsd	15056	12289	2303	7	3	81	333	3	34	1	1	1
LK-7112	Mahawilachchiya	Mahawilachchiya	dsd	7081	4947	1727	2	6	78	301	4	6	8	2	0
LK-7115	Nuwaragam Palatha Central	Nuwaragam Palatha Central	dsd	19849	15623	3745	5	3	112	311	4	34	6	5	1
LK-7118	Rambewa	Rambewa	dsd	11382	9496	1635	2	2	44	180	0	18	3	2	0
LK-7121	Kahatagasdigiliya	Kahatagasdigiliya	dsd	12483	10972	1262	9	2	38	159	1	37	0	1	2
LK-7124	Horowpothana	Horowpothana	dsd	11190	10016	972	3	4	52	113	3	17	7	2	1
LK-7127	Galenbindunuwewa	Galenbindunuwewa	dsd	14371	11653	2425	4	5	151	117	0	11	2	1	2
LK-7130	Mihinthale	Mihinthale	dsd	11419	8368	2861	2	2	42	95	2	31	6	10	0
LK-7133	Nuwaragam Palatha East	Nuwaragam Palatha East	dsd	21194	17042	3979	37	2	34	62	2	26	4	3	3
LK-7136	Nachchaduwa	Nachchaduwa	dsd	8180	7177	916	4	5	31	41	0	3	2	0	1
LK-7139	Nochchiyagama	Nochchiyagama	dsd	15943	12563	3194	5	1	50	106	1	15	5	2	1
LK-7142	Rajanganaya	Rajanganaya	dsd	10677	8905	1642	3	3	41	60	4	15	1	1	2
LK-7145	Thambuttegama	Thambuttegama	dsd	13271	11084	2020	2	0	59	88	0	12	3	1	2
LK-7148	Thalawa	Thalawa	dsd	17628	14464	2826	19	7	100	185	7	15	4	1	0
LK-7151	Thirappane	Thirappane	dsd	8897	7275	1374	1	0	43	181	1	15	4	3	0
LK-7154	Kekirawa	Kekirawa	dsd	18082	15532	2272	12	14	73	152	0	24	2	0	1
LK-7157	Palugaswewa	Palugaswewa	dsd	5145	3915	1075	1	0	18	119	0	14	1	2	0
LK-7160	Ipalogama	Ipalogama	dsd	12338	10026	2064	5	1	39	185	2	11	5	0	0
LK-7163	Galnewa	Galnewa	dsd	11372	10077	1060	1	3	39	167	1	20	2	2	0
LK-7166	Palagala	Palagala	dsd	11061	9186	1478	6	2	51	315	0	18	5	0	0
LK-72	Polonnaruwa	Polonnaruwa District	district	126482	113818	10070	100	32	628	1493	21	260	46	6	8
LK-7203	Hingurakgoda	Hingurakgoda	dsd	20141	17584	2060	20	3	111	320	4	27	8	2	2
LK-7206	Medirigiriya	Medirigiriya	dsd	20510	18840	1317	17	8	81	227	1	15	3	1	0
LK-7209	Lankapura	Lankapura	dsd	11364	10777	476	5	6	34	39	4	19	4	0	0
LK-7210	Welikanda	Welikanda	dsd	11005	9062	1580	15	3	73	181	6	74	5	1	5
LK-7212	Dimbulagala	Dimbulagala	dsd	24257	20986	2606	11	10	150	427	3	56	8	0	0
LK-7215	Thamankaduwa	Thamankaduwa	dsd	25158	23745	1153	24	1	62	101	3	54	15	0	0
LK-7218	Elahera	Elahera	dsd	14047	12824	878	8	1	117	198	0	15	3	2	1
LK-81	Badulla	Badulla District	district	239417	100196	89826	10906	2024	32714	2689	12	772	96	165	17
LK-8103	Mahiyanganaya	Mahiyanganaya	dsd	25173	22121	2220	12	6	234	516	1	49	5	7	2
LK-8106	Rideemaliyadda	Rideemaliyadda	dsd	17251	14932	1548	25	2	321	377	0	28	5	11	2
LK-8109	Meegahakivula	Meegahakivula	dsd	6396	4726	633	408	3	502	110	0	12	0	2	0
LK-8112	Kandaketiya	Kandaketiya	dsd	7410	5885	671	155	2	598	72	1	24	2	0	0
LK-8115	Soranathota	Soranathota	dsd	6781	3316	1797	218	5	1380	41	0	19	3	2	0
LK-8118	Passara	Passara	dsd	13500	3553	5861	1881	228	1848	95	1	23	6	2	2
LK-8119	Lunugala	Lunugala	dsd	8885	2393	3744	1394	85	1114	132	0	13	6	3	1
LK-8121	Badulla	Badulla	dsd	21528	6510	12221	633	64	1959	83	0	45	6	6	1
LK-8124	Hali-Ela	- Hali-Ela	dsd	25945	6995	12861	623	262	4967	97	1	84	12	43	0
LK-8127	Uva Paranagama	Uva Paranagama	dsd	22605	8007	7245	554	77	6464	110	2	95	10	40	1
LK-8130	Welimada	Welimada	dsd	28668	7704	13276	737	406	6084	259	2	156	18	22	4
LK-8133	Bandarawela	Bandarawela	dsd	17973	4756	8889	888	432	2881	51	0	62	6	7	1
LK-8136	Ella	Ella	dsd	13052	3470	6436	584	170	2237	90	1	55	2	7	0
LK-8139	Haputale	Haputale	dsd	13280	3346	7485	1022	95	1033	232	0	55	9	2	1
LK-8142	Haldummulla	Haldummulla	dsd	10970	2482	4939	1772	187	1092	424	3	52	6	11	2
LK-82	Moneragala	Monaragala District	district	150728	114868	24390	588	289	4180	5928	26	317	39	89	14
LK-8203	Bibile	Bibile	dsd	13645	11605	1155	91	13	428	307	0	22	7	17	0
LK-8206	Madulla	Madulla	dsd	10309	9033	539	41	4	130	534	2	15	4	6	1
LK-8209	Medagama	Medagama	dsd	12316	10143	1261	9	19	509	332	2	26	3	12	0
LK-8212	Siyambalanduwa	Siyambalanduwa	dsd	17784	12974	2908	7	7	371	1460	9	22	3	22	1
LK-8215	Moneragala	Moneragala	dsd	15888	11515	2996	24	8	487	805	4	35	3	8	3
LK-8218	Badalkumbura	Badalkumbura	dsd	13219	8721	2831	368	94	808	366	1	23	2	4	1
LK-8221	Wellawaya	Wellawaya	dsd	21409	16926	3138	20	5	581	652	4	64	5	9	5
LK-8224	Buttala	Buttala	dsd	17488	14865	1609	8	14	338	599	3	42	6	3	1
LK-8227	Katharagama	Katharagama	dsd	5324	2992	1951	4	2	167	172	0	33	0	2	1
LK-8230	Thanamalvila	Thanamalvila	dsd	9468	6302	2406	6	1	216	514	1	17	2	3	0
LK-8233	Sevanagala	Sevanagala	dsd	13878	9792	3596	10	122	145	187	0	18	4	3	1
LK-91	Ratnapura	Rathnapura District	district	324853	76597	212648	11625	2766	7159	12429	24	1440	47	102	16
LK-9103	Eheliyagoda	Eheliyagoda	dsd	20297	1055	17348	639	593	270	296	1	78	2	14	1
LK-9106	Kuruvita	Kuruvita	dsd	26914	1439	23647	752	246	273	436	2	104	4	11	0
LK-9109	Kiriella	Kiriella	dsd	9606	468	8077	348	307	87	241	1	73	1	3	0
LK-9112	Ratnapura	Ratnapura	dsd	33231	2294	28053	1089	112	488	903	2	274	6	4	6
LK-9115	Imbulpe	Imbulpe	dsd	18205	2589	12541	1366	392	719	529	0	59	3	6	1
LK-9118	Balangoda	Balangoda	dsd	20998	3081	15844	685	139	654	509	1	76	3	3	3
LK-9121	Opanayake	Opanayake	dsd	8102	1336	5689	194	17	323	514	4	19	4	2	0
LK-9124	Pelmadulla	Pelmadulla	dsd	26068	4109	18275	1696	294	579	1035	0	68	3	6	3
LK-9127	Elapatha	Elapatha	dsd	10784	897	8876	494	47	163	271	2	29	0	5	0
LK-9130	Ayagama	Ayagama	dsd	8847	205	7211	535	47	134	433	0	273	0	9	0
LK-9133	Kalawana	Kalawana	dsd	15099	465	12939	547	88	183	743	1	116	4	12	1
LK-9136	Nivithigala	Nivithigala	dsd	16642	1319	13235	973	58	393	602	2	54	1	5	0
LK-9139	Kahawatta	Kahawatta	dsd	12358	1624	8403	900	97	627	676	0	27	0	4	0
LK-9142	Godakawela	Godakawela	dsd	22586	7139	12032	712	248	888	1500	0	57	1	8	1
LK-9145	Weligepola	Weligepola	dsd	10598	5261	3900	106	12	178	1113	2	24	0	2	0
LK-9148	Embilipitiya	Embilipitiya	dsd	45752	33481	10599	45	20	505	1009	3	72	12	6	0
LK-9151	Kolonna	Kolonna	dsd	14773	7934	4408	531	38	548	1283	3	25	2	1	0
LK-91XX	Kalthota	Kalthota	dsd	3993	1901	1571	13	11	147	336	0	12	1	1	0
LK-92	Kegalle	Kegalle District	district	242027	105322	116372	8490	1469	5516	3244	18	1469	37	64	26
LK-9203	Rambukkana	Rambukkana	dsd	24601	19218	4480	135	11	344	294	2	109	4	4	0
LK-9206	Mawanella	Mawanella	dsd	33009	24545	7440	259	32	333	334	0	57	2	2	5
LK-9209	Aranayaka	Aranayaka	dsd	19811	14253	4123	665	7	332	349	2	75	4	0	1
LK-9212	Kegalle	Kegalle	dsd	26532	14114	9974	1295	21	691	313	0	111	4	5	4
LK-9215	Galigamuwa	Galigamuwa	dsd	21095	13222	6058	924	71	474	292	4	44	1	4	1
LK-9218	Warakapola	Warakapola	dsd	32191	15488	13602	810	149	1317	704	3	97	4	12	5
LK-9221	Ruwanwella	Ruwanwella	dsd	18290	891	15361	604	544	493	232	0	151	4	5	5
LK-9224	Bulathkohupitiya	Bulathkohupitiya	dsd	12895	1070	9783	1288	101	373	181	0	90	1	7	1
LK-9227	Yatiyanthota	Yatiyanthota	dsd	17393	1167	14402	981	66	435	117	0	213	3	8	1
LK-9230	Dehiovita	Dehiovita	dsd	23238	961	20211	675	440	481	273	5	169	8	12	3
LK-9233	Deraniyagala	Deraniyagala	dsd	12972	393	10938	854	27	243	155	2	353	2	5	0
