region_id	region_name	region_name_in_data	region_ent_type	occupied_housing_units
LK-2203030	Thennakonpura	Thennakonpura	GND	224
LK-2203035	Dandubendiruppa	Dandubendiruppa	GND	433
LK-2203040	Dewahoowa Colony 1	Dewahoowa Colony 1	GND	697
LK-2203045	Bulanawewa	Bulanawewa	GND	735
LK-2203050	Pahala Diggala	Pahala Diggala	GND	461
LK-2203055	Meewalapathaha	Meewalapathaha	GND	344
LK-2203060	Pahala Wewa	Pahala Wewa	GND	348
LK-2203065	Yatigalpotta	Yatigalpotta	GND	398
LK-2203070	Kumbukgolla	Kumbukgolla	GND	579
LK-2203075	Kosgahahinna	Kosgahahinna	GND	325
LK-2203080	Ralalerotawewa	Ralalerotawewa	GND	283
LK-2203085	Moragolla	Moragolla	GND	279
LK-2203090	Pibidunugama	Pibidunugama	GND	230
LK-2203095	Aluthwewa	Aluthwewa	GND	464
LK-2203100	Bambaragaswewa	Bambaragaswewa	GND	286
LK-2203105	Beliyakanda	Beliyakanda	GND	664
LK-2203110	Puwakpitiya	Silwathgama	GND	430
LK-2203115	Walaswewa	Walaswewa	GND	571
LK-2203120	Galapamula	Galapamula	GND	347
LK-2203125	Damunumulla	Damunumulla	GND	460
LK-2203130	Pattiwela	Pattiwela	GND	353
LK-2203135	Nilagama	Nilagama	GND	395
LK-2203140	Hombawa	Hombawa	GND	424
LK-2203145	Silwathgama	Palu Hombawa	GND	181
LK-2203150	Weragalawatta	Dambawatawana	GND	279
LK-2203155	Palu Hombawa	Puwakpitiya	GND	382
LK-2203160	Dambawatawana	Weragalawatta	GND	372
LK-2203165	Nabadagahawatta	Nabadagahawatta	GND	551
LK-2203170	Galewela Town	Galewela Town	GND	298
LK-2203175	Pathkolagolla	Pathkolagolla	GND	401
LK-2203180	Kospotha	Kospotha	GND	460
LK-2203185	Ranwediyawa	Ranwediyawa	GND	654
LK-2203190	Pahala Bambawa	Pahala Bambawa	GND	368
LK-2203195	Danduyaya	Danduyaya	GND	380
LK-2203200	Dambagolla	Dambagolla	GND	400
LK-2203205	Ihala Bambawa	Ihala Bambawa	GND	289
LK-2203210	Siyambalagahawela	Siyambalagahawela	GND	292
LK-2203215	Pihilyaya	Pihilyaya	GND	202
LK-2203220	Medabedda North	Medabedda North	GND	359
LK-2203225	Divulgaskotuwa	Divulgaskotuwa	GND	517
LK-2203230	Hathadukkuwa	Hathadukkuwa	GND	323
LK-2203235	Beligamuwa	Beligamuwa	GND	372
LK-2203240	Medabedda South	Medabedda South	GND	273
LK-2203245	Wahakotte	Wahakotte	GND	207
LK-2203250	Galgodayaya	Galgodayaya	GND	164
LK-2203255	Palapathwala	Palapathwala	GND	337
LK-2203260	Dembawa	Dembawa	GND	226
LK-2203265	Elamalpotha	Elamalpotha	GND	356
LK-2203270	Yatiwehera	Yatiwehera	GND	216
LK-2203275	Lenawala	Lenawala	GND	314
LK-2203280	Hewanwela	Hewanwela	GND	375
LK-2203285	Wegodapola	Wegodapola	GND	252
LK-2203290	Kendangamuwa	Kendangamuwa	GND	313
LK-2203295	Madipola	Madipola	GND	266
LK-2206	Dambulla	Dambulla	DSD	22894
LK-2206005	Siyambala Wewa	Siyambala Wewa	GND	213
LK-2206010	Avudangawa	Avudangawa	GND	245
LK-2206015	Gedigaswalana	Gedigaswalana	GND	254
LK-2206020	Pidurangala	Pidurangala	GND	188
LK-2206025	Thalkote	Thalkote	GND	355
LK-2206030	Digampathaha	Digampathaha	GND	381
LK-2206035	Inamaluwa	Inamaluwa	GND	474
LK-2206040	Nagalawewa	Nagalawewa	GND	282
LK-2206045	Pothana	Pothana	GND	258
LK-2206050	Kimbissa	Kimbissa	GND	259
LK-2206055	Egodawewa	Egodawewa	GND	250
LK-2206060	Palutawa	Palutawa	GND	219
LK-2206065	Sigiriya	Sigiriya	GND	206
LK-2206070	Mailattawa	Mailattawa	GND	523
LK-2206075	Pol Attawa	Pol Attawa	GND	211
LK-2206080	Nikawatawana	Nikawatawana	GND	778
LK-2206085	Kumbukkandanwala	Kumbukkandanwala	GND	290
LK-2206090	Bellanneoya	Bellanneoya	GND	403
LK-2206095	Rathmalkatuwa	Rathmalkatuwa	GND	433
LK-2206100	Welihena	Welihena	GND	525
LK-2206105	Etawarahena	Etawarahena	GND	352
LK-2206110	Pallegama	Pallegama	GND	357
LK-2206115	Bulagala	Bulagala	GND	443
LK-2206120	Pelvehera	Pelvehera	GND	609
LK-2206125	nan	Kandalama	GND	649
LK-2206130	Pahala Erevula	Pahala Erevula	GND	213
LK-2206135	Ihala Ereula	Ihala Ereula	GND	293
LK-2206140	Welangolla	Welangolla	GND	299
LK-2206145	Wewala Wewa	Wewala Wewa	GND	586
LK-2206150	Yakkuragala North	Yakkuragala North	GND	360
LK-2206155	Vilhatha	Vilhatha	GND	188
LK-2206160	Athuparayaya	Athuparayaya	GND	688
LK-2206165	Pahala Wewa	Pahala Wewa	GND	431
LK-2206170	Dambulla Town	Dambulla Town	GND	1094
LK-2206175	Dambulugama	Dambulugama	GND	360
LK-2206180	Haluapullana Wewa	Haluapullana Wewa	GND	501
LK-2206185	Pohoranwewa	Pohoranwewa	GND	741
LK-2206190	Yapagama	Yapagama	GND	565
LK-2206195	Rathmalgaha Ela	Rathmalgaha Ela	GND	881
LK-2206200	Yakkuragala South	Yakkuragala south	GND	323
LK-2206205	Kalundewa Aluthgama	Kalundewa Aluthgama	GND	275
LK-2206210	Angunawel Pelessa	Angunawel pelessa	GND	169
LK-2206215	Kalogaha Ela	Kalogaha Ela	GND	493
LK-2206220	Thittawelgolla	Thittawelgolla	GND	257
LK-2206225	Moragollewa	Moragollewa	GND	458
LK-2206230	Kapuwatta	Kapuwatta	GND	423
LK-2206235	Kiralagolla	Kiralagolla	GND	336
LK-2206240	Wavulambe	Wavulambe	GND	273
LK-2206245	Embulambe	Embulambe	GND	271
LK-2206250	Puwak Attawala	Puwak Attawala	GND	279
LK-2206255	Kalundewa Paranagama	Kalundewa Paranagama	GND	222
LK-2206260	Walgamwewa	Walgamwewa	GND	570
LK-2206265	Kandalama	Kiralessa	GND	174
LK-2206270	Pannampitiya	Pannampitiya	GND	437
LK-2206275	Welamitiyawa	Welamitiyawa	GND	137
LK-2206280	Etha Bendiwewa	Athabandiwewa	GND	474
LK-2206285	Lenadora North	Lenadora North	GND	277
LK-2206290	Lenadora South	Lenadora South	GND	367
LK-2206295	Nayakumbura	Nayakumbura	GND	322
LK-2209	Naula	Naula	DSD	8834
LK-2209005	Ussattawa	Ussattawa	GND	72
LK-2209010	Nikula	Nikula	GND	175
LK-2209015	Serudandapola	Serudandapola	GND	215
LK-2209020	Haduwa	Haduwa	GND	153
LK-2209025	Bambaragahawatta	Bambaragahawatta	GND	103
LK-2209030	Dambagolla	Dambagolla	GND	67
LK-2209035	Helambagahawatta	Helambagahawatta	GND	112
LK-2209040	Pubbiliya	Pubbiliya	GND	137
LK-2209045	Thalagoda	Thalagoda	GND	12
LK-2209050	Maragamuwa	Maragamuwa	GND	138
LK-2209055	Haduwela	Haduwela	GND	130
LK-2209060	Dodamattawela	Dodamattawela	GND	167
LK-2209065	Karavilahena	Karavilahena	GND	303
LK-2209070	Bobella	Bobella	GND	164
LK-2209075	Bibila	Bibila	GND	245
LK-2209080	Murutholuwa	Murutholuwa	GND	145
LK-2209085	Mailpitiya	Mailpitiya	GND	257
LK-2209090	Wewattawa	Wewattawa	GND	95
LK-2209095	Penalaboda	Penalaboda	GND	263
LK-2209100	Naula	Naula	GND	682
LK-2209105	Meegaha Ela	Meegaha Ela	GND	194
LK-2209110	Bowathenna Watta	Bowathenna Watta	GND	179
LK-2209115	Koombiyangahaela	Koombiyangahaela	GND	190
LK-2209120	Millagahamula Thenna	Millagahamula Thenna	GND	93
LK-2209145	Kongahawela	Kongahawela	GND	79
LK-2209150	Rajawela	Rajawela	GND	257
LK-2209155	Ganimayaya	Gan Imayaya	GND	177
LK-2209160	Moragahamada	Moragahamada	GND	134
LK-2209165	Pilihudugolla Pahalagama	Pilihudugolla Pahalagama	GND	121
LK-2209170	Pilihudugolla Ihalagama	Pilihudugolla Ihalagama	GND	314
LK-2209175	Arangala	Arangala	GND	512
LK-2209180	Habaragahamada	Habaragahamada	GND	330
LK-2209185	Elhena	Elhena	GND	119
LK-2209190	Diyankaduwa	Diyankaduwa	GND	74
LK-2209195	Alugolla	Alugolla	GND	176
LK-2209200	Nalanda	Nalanda	GND	288
LK-2209205	Wambatuyaya	Wambatuyaya	GND	131
LK-2209210	Meegolla	Meegolla	GND	205
LK-2209215	Ududeniya	Ududeniya	GND	271
LK-2209220	Hapugasyaya	Hapugasyaya	GND	306
LK-2209225	Lihinipitiya	Lihinipitiya	GND	195
LK-2209230	Senagama	Senagama	GND	226
LK-2209235	Andawala	Andawala	GND	270
LK-2209240	Opalgala	Opalgala	GND	174
LK-2209245	Ambana	Ambana	GND	77
LK-2209250	Moragolla	Moragolla	GND	70
LK-2209255	Galboda	Galboda	GND	37
LK-2212	Pallepola	Pallepola	DSD	9069
LK-2212005	Janakagama	Janakagama	GND	180
LK-2212010	Nilannoruwa Colony	Nilannoruwa Colony	GND	258
LK-2212015	Aluthgama	Aluthgama	GND	324
LK-2212020	Demada Oya	Demada Oya	GND	281
LK-2212025	Mananwatta	Mananwatta	GND	214
LK-2212030	Nilannoruwa	Nilannoruwa	GND	261
LK-2212035	Thalakiriyawa	Thalakiriyawa	GND	329
LK-2212040	Kirioruwa	Kirioruwa	GND	258
LK-2212045	Kosgolla	Kosgolla	GND	162
LK-2212050	Nagahapola	Nagahapola	GND	163
LK-2212055	Bomeruwa	Bomeruwa	GND	138
LK-2212060	Kobbevehera	Kobbevehera	GND	175
LK-2212065	Millawana Pahalagama	Millawana Pahalagama	GND	229
LK-2212070	Millawana Medagama	Millawana Medagama	GND	168
LK-2212075	Kandewatta	Kandewatta	GND	151
LK-2212080	Mahayayawatta	Mahayayawatta	GND	148
LK-2212085	Medalanda	Medalanda	GND	177
LK-2212090	Walmoruwa	Walmoruwa	GND	254
LK-2212095	Moragaspitiya	Moragaspitiya	GND	147
LK-2212100	Akuramboda	Akuramboda	GND	208
LK-2212105	Dewarammulla	Dewarammulla	GND	134
LK-2212110	Millawana Ihalagama	Millawana Ihalagama	GND	206
LK-2212115	Ambokka	Ambokka	GND	270
LK-2212120	Maningamuwa West	Maningamuwa West	GND	195
LK-2212125	Maningamuwa East	Maningamuwa East	GND	219
LK-2212130	Koswatta	Koswatta	GND	147
LK-2212135	Ekamuthugama	Ekamuthugama	GND	218
LK-2212140	Ambokudena	Ambokudena	GND	230
LK-2212145	Koholanwala	Koholanwala	GND	349
LK-2212150	Udurampelessa	Udurampelessa	GND	196
LK-2212155	Ehelepola	Ehelepola	GND	205
LK-2212160	Pallepola North	Pallepola North	GND	180
LK-2212165	Monaravila	Monaravila	GND	108
LK-2212170	Galahitiyagama	Galahitiyagama	GND	156
LK-2212175	Rusigama Ihalagama	Rusigama Ihalagama	GND	161
LK-2212180	Rusigama Pahalagama	Rusigama Pahalagama	GND	187
LK-2212185	Pallepola South	Pallepola South	GND	265
LK-2212190	Kinigama	Kinigama	GND	198
LK-2212195	Paldeniya	Paldeniya	GND	265
LK-2212200	Dodamgasyaya	Dodamgasyaya	GND	144
LK-2212205	Ariyagama	Ariyagama	GND	163
LK-2212210	Polwatta	Polwatta	GND	114
LK-2212215	Thembilideniya North	Thembilideniya North	GND	182
LK-2212220	Dimbulgamuwa	Dimbulgamuwa	GND	352
LK-2215	Yatawatta	Yatawatta	DSD	8886
LK-2215005	Udagama West	Udagama West	GND	209
LK-2215010	Selagama	Selagama	GND	185
LK-2215015	Selagama East	Selagama East	GND	221
LK-2215020	Thembilideniya	Thembilideniya	GND	130
LK-2215025	Mathale North	Matale North	GND	465
LK-2215030	Kavudupelella	Kavudupelella	GND	413
LK-2215035	Mahawela	Mahawela	GND	105
LK-2215040	Mahawela West	Mahawela West	GND	100
LK-2215045	Delgolla	Delgolla	GND	142
LK-2215050	Galagama	Galagama	GND	250
LK-2215055	Nagolla	Nagolla	GND	112
LK-2215060	Udagama	Udagama	GND	66
LK-2215065	Urulewatta	Urulewatta	GND	98
LK-2215070	Yatawatta	Yatawatta	GND	211
LK-2215075	Mediyapola	Mediyapola	GND	289
LK-2215080	Nikagolla	Nikagolla	GND	126
LK-2215085	Nikagolla North	Nikagolla North	GND	184
LK-2215090	Dikkumbura West	Dikkumbura West	GND	133
LK-2215095	Rathalawewa	Rathalawewa	GND	247
LK-2215100	Dikkumbura	Dikkumbura	GND	135
LK-2215105	Wattegedara	Wattegedara	GND	131
LK-2215110	Galaliyadda	Galaliyadda	GND	166
LK-2215115	Muruthawatta	Muruthawatta	GND	169
LK-2215120	Deevilla North	Deevilla North	GND	329
LK-2215125	Deevilla	Deevilla	GND	134
LK-2215130	Dangan Place	Dangan Place	GND	442
LK-2215135	Alokagama	Alokagama	GND	169
LK-2215140	Walpola	Walpola	GND	145
LK-2215145	Maligathenna	Maligathenna	GND	149
LK-2215150	nan	Aluthwatta	GND	61
LK-2215155	Ambanpola	Ambanpola	GND	159
LK-2215160	Lakshahena	Lakshahena	GND	137
LK-2215165	Deevilla South	Deevilla South	GND	128
LK-2215170	Gammulla	Gammulla	GND	144
LK-2215175	Mottuwela	Mottuwela	GND	138
LK-2215180	Idangama	Idangama	GND	180
LK-2215185	Udasgiriya	Udasgiriya	GND	102
LK-2215190	Ethipallawala	Ethipallawala	GND	151
LK-2215195	Aluthgama North	Aluthgama North	GND	128
LK-2215200	Aluthgama	Aluthgama	GND	127
LK-2215205	Pamunuwa	Pamunuwa	GND	85
LK-2215210	Walawela	Walawela	GND	116
LK-2215215	Unaweruwa	Unaweruwa	GND	170
LK-2215220	Madadeniya	Madadeniya	GND	146
LK-2215225	Mathalapitiya	Mathalapitiya	GND	121
LK-2215230	Mathalapitiya South	Mathalapitiya South	GND	108
LK-2215235	Rathninda	Rathninda	GND	91
LK-2215240	Asgiri Dorakumbura	Asgiri Dorakumbura	GND	60
LK-2215245	Asgiri Dorakumbura East	Asgiri Dorakumbura East	GND	97
LK-2215250	Polwatta	Polwatta	GND	90
LK-2215255	Dullewa	Dullewa	GND	106
LK-2215260	Dullewa East	Dullewa East	GND	139
LK-2215265	Thalgahagoda	Thalgahagoda	GND	105
LK-2215270	Daluwela	Daluwela	GND	124
LK-2215275	Ethipola	Ethipola	GND	117
LK-2215280	Ethipola West	Ethipola West	GND	101
LK-2218	Matale	Matale	DSD	21828
LK-2218005	Narangamuwa	Narangamuwa	GND	258
LK-2218010	Madawala Ulpatha	Madawala Ulpatha	GND	500
LK-2218015	Thalagasyaya	Thalagasyaya	GND	461
LK-2218020	Madawala	Madawala	GND	325
LK-2218025	Rajjammana	Rajjammana	GND	426
LK-2218030	Moragahamada	Moragahamada	GND	153
LK-2218035	Hathamunagala	Hathamunagala	GND	249
LK-2218040	Ankanda	Ankanda	GND	199
LK-2218045	Puwakpitiya	Puwakpitiya	GND	310
LK-2218050	Walliwela	Walliwela	GND	372
LK-2218055	Galwadukumbura	Galwadukumbura	GND	112
LK-2218060	Dombawela	Dombawela	GND	279
LK-2218065	Kawatayamuna	Kawatayamuna	GND	222
LK-2218070	Eriyagolla	Eriyagolla	GND	263
LK-2218075	Imbulandanda	Imbulandanda	GND	348
LK-2218080	Golahenwatta	Golahenwatta	GND	193
LK-2218085	Parana Dombawela	Parana Dombawela	GND	289
LK-2218090	Ellepola	Ellepola	GND	131
LK-2218095	Palapathwala	Palapathwala	GND	813
LK-2218100	Kottagoda	Kottagoda	GND	260
LK-2218105	Owala Polwatta	Owala Polwatta	GND	322
LK-2218110	Makulgaharuppa	Makulgaharuppa	GND	290
LK-2218115	Udugama	Udugama	GND	221
LK-2218120	nan	Kirigalpotta	GND	597
LK-2218125	Dunkalawatta	Dunkalawatta	GND	485
LK-2218130	Dorakumbura	Dorakumbura	GND	577
LK-2218135	Biridewala	Biridewala	GND	274
LK-2218140	Aluvihare	Aluvihare	GND	1423
LK-2218145	Dikkiriya	Dikkiriya	GND	250
LK-2218150	Parawatta	Parawatta	GND	941
LK-2218155	Kaludewala	Kaludewala	GND	1059
LK-2218160	Mandandawela	Mandandawela	GND	537
LK-2218165	Bogahakotuwa	Bogahakotuwa	GND	462
LK-2218170	Harasgama	Harasgama	GND	268
LK-2218175	Kandegedara	Kandegedara	GND	261
LK-2218180	Malwatta	Malwatta	GND	522
LK-2218185	Vihara Road	Vihara Road	GND	465
LK-2218190	Muslim Town	Muslim Town	GND	1070
LK-2218195	Oya Pahala	Oya Pahala	GND	426
LK-2218200	Gongawela	Gongawela	GND	688
LK-2218205	Sinhala Town	Sinhala Town	GND	363
LK-2218210	Dodamdeniya	Dodamdeniya	GND	208
LK-2218215	Hulangamuwa South	Hulangamuwa south	GND	356
LK-2218220	Hulangamuwa North	Hulangamuwa North	GND	461
LK-2218225	Diyabubula	Diyabubula	GND	360
LK-2218230	Maligathenna	Maligathenna	GND	849
LK-2218235	Nagolla	Nagolla	GND	387
LK-2218240	Pandivita	Pandivita	GND	237
LK-2218245	Pandivita Welagama	Pandivita Welagama	GND	291
LK-2218250	Kotuwegedara North	Kotuwegedara North	GND	328
LK-2218255	Koombiyangoda	Koombiyangoda	GND	239
LK-2218260	Kotuwegedara South	Kotuwegedara South	GND	448
LK-2221	Ambanganga	Ambanganga Korale	DSD	4682
LK-2221005	Kumbaloluwa	Kumbaloluwa	GND	234
LK-2221010	Gammaduwa	Gammaduwa	GND	423
LK-2221015	Kalugalthenna	Kalugalthenna	GND	158
LK-2221020	Naguliyadda	Naguliyadda	GND	288
LK-2221025	Kosgolla	Kosgolla	GND	178
LK-2221030	Imbulgolla	Imbulgolla	GND	180
LK-2221035	Ranmuthugama	Ranmuthugama	GND	233
LK-2221040	Raithalawa	Raithalawa	GND	77
LK-2221045	Thibbatukanatha	Thibbatukanatha	GND	177
LK-2221050	Palle Eswedduma	Palle Eswedduma	GND	158
LK-2221055	Pallethenna	Pallethenna	GND	254
LK-2221060	Pussella	Pussella	GND	432
LK-2221065	Sirangahawatta	Sirangahawatta	GND	312
LK-2221070	Kavudagammana	Kavudagammana	GND	128
LK-2221075	Narangolla	Narangolla	GND	175
LK-2221080	Hunukete	Hunukete	GND	364
LK-2221085	Metihakka	Metihakka	GND	364
LK-2221090	nan	Aluthwela	GND	182
LK-2221095	Cloda	Cloda	GND	180
LK-2221100	Gurubebila	Gurubebila	GND	185
LK-2224	Laggala	Laggala-Pallegama	DSD	4876
LK-2224005	Maoya	Maoya	GND	707
LK-2224010	Kandepitawala	Kandepitawela	GND	276
LK-2224015	Dewaladeniya	Dewaladeniya	GND	481
LK-2224020	Kaluganga	Kaluganga	GND	238
LK-2224025	Akarahediya	Akarahediya	GND	977
LK-2224030	Hattota Amuna	Hattota Amuna	GND	130
LK-2224035	Dasgiriya	Dasgiriya	GND	177
LK-2224040	Morathenna	Morathenna	GND	277
LK-2224045	Wellewala	Wellewala	GND	204
LK-2224050	Weliwaranagolla	Weliwaranagolla	GND	135
LK-2224055	Leloya	Leloya	GND	169
LK-2224060	Pottatawela	Pottatawela	GND	22
LK-2224065	Dammanthenna	Dammanthenna	GND	23
LK-2224070	Gangalapuwakpitiya	Gangalapuwakpitiya	GND	92
LK-2224075	Divulgas Pathana	Divulgas Pathana	GND	3
LK-2224080	Pitawala	Pitawala	GND	55
LK-2224085	Kahagala	Kahagala	GND	38
LK-2224090	Ilukkumbura	Ilukkumbura	GND	46
LK-2224095	Mahalakotuwa	Mahalakotuwa	GND	39
LK-2224130	Galgedawala	Galgedawala	GND	43
LK-2224135	Guruwela	Guruwela	GND	138
LK-2224140	Kivulawadiya	Kivulawadiya	GND	105
LK-2224145	Halminiya	Halminiya	GND	78
LK-2224160	Meda Ela	Meda Ela	GND	40
LK-2224165	Rathninda	Rathninda	GND	44
LK-2224170	Etanwala	Etanwala	GND	32
LK-2224175	Ranamuregama	Ranamuregama	GND	123
LK-2224180	Narangamuwa	Narangamuwa	GND	108
LK-2224185	Lakegala	Lakegala	GND	76
LK-2227	Wilgamuwa	Wilgamuwa	DSD	9813
LK-2227005	Kumbukoya	Kumbukoya	GND	72
LK-2227010	Thunhiriyawewa	Thunhiriyawewa	GND	249
LK-2227015	Palupitiya	Palupitiya	GND	196
LK-2227020	Rattotayaya	Rattotayaya	GND	195
LK-2227025	Dunuvilapitiya	Dunuvilapitiya	GND	155
LK-2227030	Medakanda	Medakanda	GND	110
LK-2227035	Aliwanguwa	Aliwanguwa	GND	254
LK-2227040	Viharagama	Viharagama	GND	252
LK-2227045	Handungamuwa	Handungamuwa	GND	216
LK-2227050	Topwalapitiya	Topwalapitiya	GND	120
LK-2227055	Gemburuoya	Gemburuoya	GND	223
LK-2227060	Kumbukandana	Kumbukandana	GND	292
LK-2227065	Lediyangala	Lediyangala	GND	348
LK-2227070	Karawgahawewa	Karawgahawewa	GND	263
LK-2227075	Radunnewewa	Radunnewewa	GND	247
LK-2227080	Maraka	Maraka	GND	220
LK-2227085	Malgammana	Malgammana	GND	211
LK-2227090	Bogahawewa	Bogahawewa	GND	276
LK-2227095	Aliyawala	Aliyawala	GND	90
LK-2227100	Veheragala	Veheragala	GND	302
LK-2227105	Himbiliyakada	Himbiliyakada	GND	97
LK-2227110	Hettipola	Hettipola	GND	645
LK-2227115	Naminioya	Naminioya	GND	339
LK-2227120	Dewagiriya	Dewagiriya	GND	345
LK-2227125	Piduruella	Piduruella	GND	121
LK-2227130	Guruwelayaya	Guruwelayaya	GND	200
LK-2227135	Naminigama	Naminigama	GND	383
LK-2227140	Perakanatta	Perakanatta	GND	276
LK-2227145	Wilgamuwa	Wilgamuwa	GND	114
LK-2227150	Wanarawa	Wanarawa	GND	316
LK-2227155	Bathgampala	Bathgampala	GND	505
LK-2227160	Nagolla	Nagolla	GND	309
LK-2227165	Moragaha Ulpatha	Moragaha Ulpatha	GND	182
LK-2227170	Nugagolla	Nugagolla	GND	434
LK-2227175	Meewaobe	Meewaobe	GND	337
LK-2227180	80 Yaya	80 Yaya	GND	335
LK-2227185	Sonutta	Sonutta	GND	270
LK-2227190	Uduwelwala	Uduwelwala	GND	241
LK-2227195	Sulugune	Sulugune	GND	73
LK-2230	Rattota	Rattota	DSD	15594
LK-2230005	Ikirigolla	Ikirigolla	GND	267
LK-2230010	Pahala Owala	Pahala Owala	GND	277
LK-2230015	Ihala Owala	Ihala Owala	GND	361
LK-2230020	Kaikawala	Kaikawala	GND	423
LK-2230025	Nikawella	Nikawella	GND	337
LK-2230030	Kuruwawa	Kuruwawa	GND	394
LK-2230035	Rattota	Rattota	GND	427
LK-2230040	Bodhikotuwa	Bodhikotuwa	GND	206
LK-2230045	Dankanda	Dankanda	GND	228
LK-2230050	Kirimetiya	Kirimetiya	GND	188
LK-2230055	Polwattakanda	Polwattakanda	GND	218
LK-2230060	Dambagolla	Dambagolla	GND	301
LK-2230065	Medawatta	Medawatta	GND	216
LK-2230070	Weralugasthenna	Weralugasthenna	GND	249
LK-2230075	Madakumbura	Madakumbura	GND	266
LK-2230080	Maussagolla	Maussagolla	GND	137
LK-2230085	Wanaraniya	Wanaraniya	GND	276
LK-2230090	Lonvil	Lonvil	GND	526
LK-2230095	Maradurawala	Maradurawala	GND	276
LK-2230100	Pallegama	Pallegama	GND	405
LK-2230105	Koswana North	Koswana North	GND	244
LK-2230110	Palle Weragama	Palle Weragama	GND	274
LK-2230115	Viharagama	Viharagama	GND	984
LK-2230120	Kaineka	Kaineka	GND	387
LK-2230125	Uda Weragama	Uda Weragama	GND	244
LK-2230130	Meda Weragama	Meda Weragama	GND	173
LK-2230135	Koswana South	Koswana South	GND	166
LK-2230140	Bogambara	Bogambara	GND	270
LK-2230145	Galekoluwa	Galekoluwa	GND	401
LK-2230150	Welangahawatta	Welangahawatta	GND	224
LK-2230155	Horagolla	Horagolla	GND	168
LK-2230160	Bambarakiriella	Bambarakiriella	GND	251
LK-2230165	Alakolamada	Alakolamada	GND	183
LK-2230170	Udagama	Udagama	GND	234
LK-2230175	Pitakanda	Pitakanda	GND	153
LK-2230180	Gansarapola	Gansarapola	GND	149
LK-2230185	Epitamulla	Epitamulla	GND	228
LK-2230190	Wetasyaya	Wetasyaya	GND	220
LK-2230195	Godapola	Godapala	GND	282
LK-2230200	Ulpothapitiya	Ulpothapitiya	GND	522
LK-2230205	Bandarapola	Bandarapola	GND	316
LK-2230210	Muwandeniya	Muwandeniya	GND	244
LK-2230215	Palleyaya	Palleyaya	GND	140
LK-2230220	Neluwakanda	Neluwakanda	GND	238
LK-2230225	Punchiseluwakanda	Punchiseluwakanda	GND	395
LK-2230230	Thambalagala	Thambalagala	GND	299
LK-2230235	Kandenuwara West	Kandenuwara West	GND	295
LK-2230240	Kandenuwara East	Kandenuwara East	GND	404
LK-2230245	Alwatta	Alwatta	GND	382
LK-2230250	Warapitiya	Warapitiya	GND	140
LK-2230255	Dombagoda	Dombagoda	GND	143
LK-2230260	Pahala Hapuvida	Pahala Hapuvida	GND	279
LK-2230265	Uda Hapuvida	Uda Hapuvida	GND	200
LK-2230270	Hangarankanda	Hangarankanda	GND	384
LK-2233	Ukuwela	Ukuwela	DSD	19554
LK-2233005	Galaudahena	Galaudahena	GND	115
LK-2233010	Makulemada	Makulemada	GND	53
LK-2233015	Pathingolla	Pathingolla	GND	177
LK-2233020	Wademada	Wademada	GND	107
LK-2233025	Wattegedara	Wattegedara	GND	51
LK-2233030	Watagoda	Watagoda	GND	104
LK-2233035	Pallekumbura	Pallekumbura	GND	104
LK-2233040	Katuattamada	Katuattamada	GND	138
LK-2233045	Panwatta	Panwatta	GND	114
LK-2233050	Alawathuwala	Alawathuwala	GND	113
LK-2233055	Horagahapitiya	Horagahapitiya	GND	160
LK-2233060	Ovilikanda	Ovilikanda	GND	194
LK-2233065	Kirimetiyawa	Kirimetiyawa	GND	65
LK-2233070	Thenna	Thenna	GND	197
LK-2233075	Muwagala	Muwagala	GND	125
LK-2233080	Ovilla	Ovilla	GND	150
LK-2233085	Enasalmada	Enasalmada	GND	215
LK-2233090	Thibbatuwawa	Thibbatuwawa	GND	157
LK-2233095	Dombagasdeniya	Dombagasdeniya	GND	262
LK-2233100	Kendagolla	Kendagolla	GND	310
LK-2233105	Kohombiliwela	Kohombiliwela	GND	406
LK-2233110	Wariyapola Watta	Wariyapola Watta	GND	558
LK-2233115	Wariyapola	Wariyapola	GND	459
LK-2233120	Pananthadiya	Pananthadiya	GND	139
LK-2233125	Nawarathnagoda	Nawarathnagoda	GND	163
LK-2233130	Eriyagolla	Eriyagolla	GND	139
LK-2233135	Katudeniya	Katudeniya	GND	283
LK-2233140	Elwala	Elwala	GND	500
LK-2233145	Pahalawela	Pahalawela	GND	437
LK-2233150	Dehipitiya	Dehipitiya	GND	615
LK-2233155	Purijjala	Purijjala	GND	266
LK-2233160	Udupihilla	Udupihilla	GND	335
LK-2233165	Halangoda	Halangoda	GND	265
LK-2233170	Nagahathenna	Nagahathenna	GND	460
LK-2233175	Warakamura	Warakamura	GND	360
LK-2233180	Meedeniya	Meedeniya	GND	670
LK-2233185	Nagolla	Nagolla	GND	575
LK-2233190	Thawalankoya	Thawalankoya	GND	468
LK-2233195	Dumbukola	Dumbukola	GND	372
LK-2233200	Ukuwela	Ukuwela	GND	719
LK-2233205	Udupitiya	Udupitiya	GND	285
LK-2233210	Kalalpitiya	Kalalpitiya	GND	327
LK-2233215	Balakaduwa	Balakaduwa	GND	169
LK-2233220	Bowatta	Bowatta	GND	242
LK-2233225	Manaboda	Manaboda	GND	558
LK-2233230	Paragahawela	Paragahawela	GND	528
LK-2233235	Udathenna	Udathenna	GND	217
LK-2233240	Hunuketawala	Hunuketawala	GND	219
LK-2233245	Leliambe	Leliambe	GND	165
