region_id	region_name	region_name_in_data	region_ent_type	total	buddhist	hindu	islam	roman_catholic	other_christian	other
LK-8142	Haldummulla	Haldummulla	dsd	38778	21455	16140	461	238	482	2
LK-82	Moneragala	Moneragala District	district	527585	498436	14974	12262	1181	713	19
LK-8203	Bibile	Bibile	dsd	47266	44824	1045	1217	129	51	0
LK-8206	Madulla	Madulla	dsd	36446	36280	47	9	74	36	0
LK-8209	Medagama	Medagama	dsd	44614	37662	80	6827	33	11	1
LK-8212	Siyambalanduwa	Siyambalanduwa	dsd	63055	62813	90	40	56	56	0
LK-8215	Moneragala	Moneragala	dsd	56951	48622	7625	283	257	161	3
LK-8218	Badalkumbura	Badalkumbura	dsd	46595	39597	4483	2243	251	21	0
LK-8221	Wellawaya	Wellawaya	dsd	73280	71292	505	1147	129	195	12
LK-8224	Buttala	Buttala	dsd	60606	59547	461	425	121	51	1
LK-8227	Katharagama	Katharagama	dsd	18158	17477	554	47	32	48	0
LK-8230	Thanamalvila	Thanamalvila	dsd	31238	31070	38	9	63	57	1
LK-8233	Sevanagala	Sevanagala	dsd	49376	49252	46	15	36	26	1
LK-91	Ratnapura	Ratnapura District	district	1145423	999682	103883	26796	8607	6394	61
LK-9103	Eheliyagoda	Eheliyagoda	dsd	74071	66173	3231	3961	353	349	4
LK-9106	Kuruvita	Kuruvita	dsd	97966	89318	5256	2122	664	604	2
LK-9109	Kiriella	Kiriella	dsd	33631	32480	907	15	160	68	1
LK-9112	Ratnapura	Ratnapura	dsd	121166	94405	17447	7169	1139	998	8
LK-9115	Imbulpe	Imbulpe	dsd	64555	55075	8019	108	894	453	6
LK-9118	Balangoda	Balangoda	dsd	74893	54995	10952	6768	1431	724	23
LK-9121	Opanayake	Opanayake	dsd	27244	25134	1717	238	107	46	2
LK-9124	Pelmadulla	Pelmadulla	dsd	93818	80404	11641	663	639	469	2
LK-9127	Elapatha	Elapatha	dsd	38429	36520	1594	53	202	60	0
LK-9130	Ayagama	Ayagama	dsd	29944	26217	3483	15	151	78	0
LK-9133	Kalawana	Kalawana	dsd	50753	44599	5584	23	143	402	2
LK-9136	Nivithigala	Nivithigala	dsd	59442	49271	8934	539	469	226	3
LK-9139	Kahawatta	Kahawatta	dsd	43708	33355	7906	1558	640	247	2
LK-9142	Godakawela	Godakawela	dsd	78541	60584	12597	3138	1132	1085	5
LK-9145	Weligepola	Weligepola	dsd	34168	33774	339	27	20	7	1
LK-9148	Embilipitiya	Embilipitiya	dsd	160008	159374	158	54	226	196	0
LK-9151	Kolonna	Kolonna	dsd	50068	45356	4105	33	195	379	0
LK-91XX	Kalthota	Kalthota	dsd	13018	12648	13	312	42	3	0
LK-92	Kegalle	Kegalle District	district	870476	728929	56199	72616	7292	5387	53
LK-9203	Rambukkana	Rambukkana	dsd	87055	79429	838	3470	1351	1960	7
LK-9206	Mawanella	Mawanella	dsd	126026	82393	1164	41933	406	125	5
LK-9209	Aranayaka	Aranayaka	dsd	69075	61972	1180	5525	222	176	0
LK-9212	Kegalle	Kegalle	dsd	94314	89192	2027	1285	1254	543	13
LK-9215	Galigamuwa	Galigamuwa	dsd	73778	69494	2524	1164	394	201	1
LK-9218	Warakapola	Warakapola	dsd	117967	105968	3471	7750	456	309	13
LK-9221	Ruwanwella	Ruwanwella	dsd	65797	56321	4327	4325	467	356	1
LK-9224	Bulathkohupitiya	Bulathkohupitiya	dsd	45237	37337	7247	83	304	260	6
LK-9227	Yatiyanthota	Yatiyanthota	dsd	62255	45325	12613	3110	663	541	3
LK-9230	Dehiovita	Dehiovita	dsd	84967	66913	12066	3916	1436	636	0
LK-9233	Deraniyagala	Deraniyagala	dsd	44005	34585	8742	55	339	280	4
