region_id	region_name	region_name_in_data	region_ent_type	single_house_single_storeyed	single_house_two_storeyed	single_house_more_than_two_storeyed	attached_house_1st_floor	attached_house_2nd_floor	attached_house_from_3_to_4_floors	attached_house_from_5_to_10_floors	attached_house_from_11_to_19_floors	attached_house_from_20_floors_or_more	other
LK-1212270	Imbulanwala	Imbulanwala	GND	242	20	0	0	0	0	0	0	0	0
LK-1212275	Uduulla	Uduulla	GND	153	12	0	0	0	0	0	0	0	0
LK-1212280	Gaspe	Gaspe	GND	396	42	1	3	4	0	0	0	0	0
LK-1212285	Banduragoda	Banduragoda	GND	227	54	0	0	0	0	0	0	0	0
LK-1212290	Keppitiwalana	Keppitiwalana	GND	370	24	0	0	0	0	0	0	0	0
LK-1212295	Gaspe Pahalagama	Gaspe Pahalagama	GND	228	15	0	1	0	0	0	0	0	0
LK-1212300	Galgana	Galgana	GND	117	8	1	0	0	0	0	0	0	0
LK-1212305	Pelapitigama	Pelapitigama	GND	368	37	1	0	0	0	0	0	0	0
LK-1212310	Elhena	Elhena	GND	461	66	0	0	0	0	0	0	0	0
LK-1212315	Ganegoda	Ganegoda	GND	296	32	0	0	1	0	0	0	0	0
LK-1212320	Hiriwala	Hiriwala	GND	408	103	1	5	2	1	0	0	0	0
LK-1212325	Handurumulla	Handurumulla	GND	194	19	0	0	0	0	0	0	0	0
LK-1212330	Pamunuwatta	Pamunuwatta	GND	353	43	0	0	0	0	0	0	0	0
LK-1212335	Lindara Ihala	Lindara Ihala	GND	136	5	0	0	0	0	0	0	0	0
LK-1212340	Arukgoda	Arukgoda	GND	136	19	0	0	0	0	0	0	0	0
LK-1212345	Madabavita	Madabavita	GND	311	64	0	1	0	0	0	0	0	0
LK-1212350	Madabavita Ihalagama	Madabavita Ihalagama	GND	249	31	0	0	0	0	0	0	0	0
LK-1212355	Newgala	Newgala	GND	234	56	1	1	1	0	0	0	0	1
LK-1212360	Danovita	Danovita	GND	325	96	7	1	3	0	0	0	0	0
LK-1212365	Weweldeniya Pahalagama	Weweldeniya Pahalagama	GND	240	40	3	0	0	0	0	0	0	0
LK-1212370	Weweldeniya Pahalagama West	Weweldeniya Pahalagama West	GND	333	73	2	0	0	0	0	0	0	0
LK-1212375	Henepola	Henepola	GND	151	11	0	0	0	0	0	0	0	0
LK-1212380	Palmada	Palmada	GND	211	3	0	0	0	0	0	0	0	0
LK-1212385	Kal/ Pallewela	Kal/Pallewela	GND	296	20	0	0	2	0	0	0	0	0
LK-1212390	Raddalgoda	Raddalgoda	GND	237	18	2	0	0	0	0	0	0	0
LK-1212395	Ihala Bokalagama	Ihala Bokalagama	GND	307	32	0	0	0	0	0	0	0	0
LK-1212400	Pahala Bokalagama	Pahala Bokalagama	GND	576	64	1	0	0	0	0	0	0	0
LK-1212405	Kukulnape	Kukulnape	GND	182	26	1	0	0	0	0	0	0	0
LK-1212410	Gaspe South	Gaspe South	GND	218	25	0	0	0	0	0	0	0	0
LK-1212415	Muddaragama	Muddaragama	GND	243	43	0	0	0	0	0	0	0	0
LK-1212420	Hanchapola	Hanchapola	GND	280	16	0	0	0	0	0	0	0	0
LK-1212425	Hirikuluwa	Hirikuluwa	GND	174	16	0	0	0	0	0	0	0	0
LK-1212430	Pathagama	Pathagama	GND	189	21	0	0	0	0	0	0	0	0
LK-1212435	Borukgamuwa West	Borukgamuwa West	GND	236	21	1	1	0	0	0	0	0	0
LK-1212440	Borukgamuwa	Borukgamuwa	GND	304	22	2	1	1	0	0	0	0	0
LK-1212445	Pallewela	Pallewela	GND	168	37	1	1	1	0	0	0	0	0
LK-1212450	Weragoda/ Kakkele	Weragoda/Kakkele	GND	296	54	3	0	0	0	0	0	0	0
LK-1212455	Hansagiriya	Hansagiriya	GND	503	31	0	0	0	0	0	0	0	0
LK-1212460	Wellevilamulla North	Wellevilamulla North	GND	239	40	6	0	0	0	0	0	0	0
LK-1212465	Wellevilamulla	Wellevilamulla	GND	203	49	0	0	0	0	0	0	0	0
LK-1212470	Udawela	Udawela	GND	368	52	5	0	0	0	0	0	0	0
LK-1212475	Hapitigama	Hapitigama	GND	274	24	1	1	1	0	0	0	0	0
LK-1212480	Makkanigoda North	Makkanigoda North	GND	412	68	0	1	0	0	0	0	0	1
LK-1212485	Pahalawela	Pahalawela	GND	173	14	0	0	0	0	0	0	0	0
LK-1212490	Millawala	Millawala	GND	333	25	0	0	0	0	0	0	0	0
LK-1212495	Weweldeniya Ihalagama West	Weweldeniya Ihalagama West	GND	147	44	3	0	0	0	0	0	0	0
LK-1212500	Weweldeniya Ihalagama	Weweldeniya Ihalagama	GND	188	48	2	0	0	0	0	0	0	0
LK-1212505	Kotadeniya	Kotadeniya	GND	248	36	3	0	1	0	0	0	0	0
LK-1212510	Ilukpatha/ Weragoda	Ilukpatha/Weragoda	GND	325	15	0	0	0	0	0	0	0	0
LK-1212515	Hedidenikanda	Hedidenikanda	GND	188	24	2	1	0	0	0	0	0	0
LK-1212520	Radawadunna	Radawadunna	GND	276	32	3	2	1	0	0	0	0	0
LK-1212525	Bataleeya	Bataleeya	GND	286	40	3	1	1	0	0	0	0	0
LK-1212530	Bataleeya South	Bataleeya South	GND	251	16	0	0	0	0	0	0	0	0
LK-1212535	Bolana	Bolana	GND	226	15	1	0	0	0	0	0	0	0
LK-1212540	Mallehewa	Mallehewa	GND	212	37	0	0	0	0	0	0	0	0
LK-1212545	Webadamulla	Webadamulla	GND	543	83	0	0	0	0	0	0	0	0
LK-1212550	Weragoda	Weragoda	GND	245	17	0	0	0	0	0	0	0	0
LK-1212555	Midellawala	Midellawala	GND	117	21	0	0	0	0	0	0	0	0
LK-1212560	Kendalanda	Kendalanda	GND	278	36	0	0	0	0	0	0	0	0
LK-1212565	Nungamuwa	Nungamuwa	GND	333	47	0	1	0	0	0	0	0	0
LK-1212570	Uthuwanbogahawatta	Uthuwanbogahawatta	GND	403	59	0	0	0	0	0	0	0	0
LK-1212575	Maligathenna Pahala	Maligathenna Pahala	GND	459	29	0	0	0	0	0	0	0	0
LK-1212580	Maligathenna Central	Maligathenna Central	GND	510	38	0	0	0	0	0	0	0	0
LK-1212585	Wandurawa	Wandurawa	GND	441	72	1	0	0	0	0	0	0	0
LK-1212590	Galgamuwa West	Galgamuwa West	GND	390	73	0	0	0	0	0	0	0	0
LK-1212595	Galgamuwa East	Galgamuwa East	GND	253	37	0	1	0	0	0	0	0	0
LK-1212600	Kumbaloluwa	Kumbaloluwa	GND	136	11	0	0	0	0	0	0	0	0
LK-1212605	Kumbaloluwa Ihala	Kumbaloluwa Ihala	GND	291	51	1	0	0	0	0	0	0	0
LK-1212610	Kumbaloluwa Pahala	Kumbaloluwa Pahala	GND	292	26	3	0	0	0	0	0	0	0
LK-1212615	Dumunnegedara South	Dumunnegedara South	GND	205	6	0	0	0	0	0	0	0	0
LK-1212620	Dumunnegedara	Dumunnegedara	GND	222	10	1	0	0	0	0	0	0	0
LK-1212625	Pasyala	Pasyala	GND	253	53	4	6	0	0	0	0	0	0
LK-1212630	Pasyala West	Pasyala West	GND	183	37	2	0	0	0	0	0	0	0
LK-1212635	Muruthawala	Muruthawala	GND	141	29	5	0	0	1	0	0	0	0
LK-1212640	Kithanawatta	Kithanawatta	GND	688	78	2	1	0	2	0	0	0	0
LK-1212645	Kammalpitiya	Kammalpitiya	GND	360	31	3	0	1	0	0	0	0	0
LK-1212650	Radawadunna Central	Radawadunna Central	GND	265	26	0	0	0	0	0	0	0	1
LK-1212655	Imbulgasovita	Imbulgasovita	GND	256	25	2	1	0	1	0	0	0	0
LK-1212660	Radawadunna Pahala	Radawadunna Pahala	GND	194	28	0	0	0	0	0	0	0	0
LK-1212665	Weerasooriyakanda	Weerasooriyakanda	GND	441	52	0	1	0	0	0	0	0	0
LK-1212670	Pasyala East	Pasyala East	GND	180	99	4	7	5	0	0	0	0	0
LK-1212675	Udugama	Udugama	GND	405	40	0	0	0	0	0	0	0	0
LK-1212680	Panawala	Panawala	GND	242	25	1	0	0	0	0	0	0	0
LK-1212685	Delgahamedilla	Delgahamedilla	GND	320	61	1	0	0	0	0	0	0	0
LK-1212690	Mottunna West	Mottunna West	GND	246	45	3	1	1	0	0	0	0	0
LK-1212695	Mottunna	Mottunna	GND	195	41	2	0	0	0	0	0	0	0
LK-1212700	Maligathenna	Maligathenna	GND	649	54	0	1	0	0	0	0	0	0
LK-1212705	Kureekotuwa	Kureekotuwa	GND	754	191	5	0	3	0	0	0	0	0
LK-1212710	Hakwadunna	Hakwadunna	GND	288	30	0	0	0	0	0	0	0	0
LK-1212715	Kureekotuwa Pahala	Kureekotuwa Pahala	GND	238	28	1	0	0	0	0	0	0	0
LK-1212720	Ellalamulla	Ellalamulla	GND	446	89	4	0	0	0	0	0	0	0
LK-1212725	Debahera	Debahera	GND	339	28	0	0	0	0	0	0	0	0
LK-1212730	Mawathahena	Mawathahena	GND	324	25	0	0	0	0	0	0	0	0
LK-1212735	Meevitiya	Meevitiya	GND	468	35	1	0	3	0	0	0	0	0
LK-1212740	Ketakalapitiya	Ketakalapitiya	GND	206	1	0	0	0	0	0	0	0	0
LK-1212745	Dambutuwa	Dambutuwa	GND	276	13	0	0	0	0	0	0	0	0
LK-1215	Minuwangoda	Minuwangoda	DSD	47809	7688	150	421	155	56	4	0	0	4
LK-1215005	Medemulla North	Medemulla North	GND	474	18	1	1	1	0	0	0	0	0
LK-1215010	Nilpanagoda West	Nilpanagoda West	GND	450	28	0	0	0	0	0	0	0	0
LK-1215015	Nilpanagoda East	Nilpanagoda East	GND	392	21	2	0	3	0	1	0	0	0
LK-1215020	Nilpanagoda	Nilpanagoda	GND	698	88	6	1	0	0	0	0	0	0
LK-1215025	Arangawa	Arangawa	GND	479	37	1	2	0	0	0	0	0	2
LK-1215030	Horampella North	Horampella North	GND	513	84	1	1	0	0	0	0	0	0
LK-1215035	Galkanda	Galkanda	GND	234	40	1	0	0	1	0	0	0	0
LK-1215040	Bodhipihituwala	Bodhipihituwala	GND	549	39	0	0	0	0	0	0	0	0
LK-1215045	Watinapaha	Watinapaha	GND	320	36	0	0	0	0	0	0	0	0
LK-1215050	Mabodala West	Mabodala West	GND	488	89	0	0	2	0	0	0	0	0
LK-1215055	Mabodala North	Mabodala North	GND	348	39	0	0	0	0	0	0	0	0
LK-1215060	Ihala Vithanamulla	Ihala Vithanamulla	GND	314	39	1	0	0	0	0	0	0	0
LK-1215065	Nalapaha	Nalapaha	GND	211	31	0	0	0	0	0	0	0	0
LK-1215070	Pahala Vithanamulla	Pahala Vithanamulla	GND	209	20	0	0	0	0	0	0	0	0
LK-1215075	Mabodala East	Mabodala East	GND	309	16	0	0	0	0	0	0	0	0
LK-1215080	Mabodala South	Mabodala South	GND	215	25	0	0	0	0	0	0	0	0
LK-1215085	Watinapaha South	Watinapaha South	GND	328	39	0	0	0	0	0	0	0	0
LK-1215090	Wankepumulla	Wankepumulla	GND	127	9	0	0	0	0	0	0	0	0
LK-1215095	Kamaragoda	Kamaragoda	GND	351	22	0	0	0	0	0	0	0	0
LK-1215100	Kudagoda	Kudagoda	GND	300	24	0	0	0	0	0	0	0	0
LK-1215105	Horampella South	Horampella South	GND	323	23	1	0	0	0	0	0	0	0
LK-1215110	Mahagama	Mahagama	GND	524	45	0	0	1	0	0	0	0	0
LK-1215115	Wegowwa South	Wegowwa South	GND	458	51	0	1	0	0	0	0	0	0
LK-1215120	Minuwangoda East	Minuwangoda East	GND	431	125	1	1	0	0	0	0	0	0
LK-1215125	Minuwangoda North	Minuwangoda North	GND	233	65	0	0	0	0	0	0	0	0
LK-1215130	Medemulla South	Medemulla South	GND	807	146	1	4	2	0	0	0	0	0
LK-1215135	Boragodawatta North	Boragodawatta North	GND	542	52	1	0	1	0	0	0	0	0
LK-1215140	Yatiyana	Yatiyana	GND	765	72	2	0	0	0	0	0	0	0
LK-1215145	Peellawatta	Peellawatta	GND	612	133	4	0	0	0	0	0	0	0
LK-1215150	Unnaruwa	Unnaruwa	GND	411	62	0	14	3	0	0	0	0	0
LK-1215155	Yatiyana Central	Yatiyana Central	GND	369	80	5	2	2	1	0	0	0	0
LK-1215160	Yatiyana East	Yatiyana East	GND	570	100	4	2	1	0	0	0	0	0
LK-1215165	Kopiwatta	Kopiwatta	GND	387	29	0	0	0	0	0	0	0	0
LK-1215170	Boragodawatta South	Boragodawatta South	GND	492	85	1	24	5	0	0	0	0	0
LK-1215175	Minuwangoda West	Minuwangoda West	GND	257	77	2	13	0	0	0	0	0	0
LK-1215180	Meda Minuwangoda	Meda Minuwangoda	GND	125	53	9	18	6	0	0	0	0	0
LK-1215185	Pansilgoda	Pansilgoda	GND	313	37	1	5	1	0	0	0	0	0
LK-1215190	Wegowwa East	Wegowwa East	GND	226	32	0	0	0	0	0	0	0	0
LK-1215195	Helakandana	Helakandana	GND	512	120	4	8	0	0	0	0	0	0
LK-1215200	Peralanda	Peralanda	GND	267	42	1	0	0	0	0	0	0	0
LK-1215205	Dewalapola	Dewalapola	GND	434	84	1	9	5	2	3	0	0	0
LK-1215210	Wadumulla	Wadumulla	GND	380	38	0	1	0	0	0	0	0	0
LK-1215215	Metikotumulla	Metikotumulla	GND	337	36	0	1	0	0	0	0	0	0
LK-1215220	Essella	Essella	GND	185	21	0	0	0	0	0	0	0	0
LK-1215225	Yatagama	Yatagama	GND	259	34	0	0	0	0	0	0	0	0
LK-1215230	Naiwala North	Naiwala North	GND	396	60	0	0	0	0	0	0	0	0
LK-1215235	Naiwala East	Naiwala East	GND	331	77	5	0	3	50	0	0	0	0
LK-1215240	Naiwala West	Naiwala West	GND	326	66	4	0	3	0	0	0	0	0
LK-1215245	Walpitamulla	Walpitamulla	GND	681	119	4	2	5	0	0	0	0	0
LK-1215250	Balabowa	Balabowa	GND	456	79	3	0	1	0	0	0	0	0
LK-1215255	Balabowa West	Balabowa West	GND	556	46	0	5	0	0	0	0	0	0
LK-1215260	Pethiyagoda North	Pethiyagoda North	GND	260	25	0	0	0	0	0	0	0	0
LK-1215265	Gallegedara	Gallegedara	GND	285	31	0	0	0	0	0	0	0	0
LK-1215270	Ganihimulla	Ganihimulla	GND	399	52	1	36	32	0	0	0	0	0
LK-1215275	Hendimahara	Hendimahara	GND	450	51	0	0	0	0	0	0	0	0
LK-1215280	Kalawana	Kalawana	GND	397	48	1	7	3	0	0	0	0	0
LK-1215285	Wattegedara	Wattegedara	GND	246	65	1	4	0	0	0	0	0	0
LK-1215290	Ambagahawatta	Ambagahawatta	GND	202	60	4	2	5	0	0	0	0	0
LK-1215295	Galloluwa East	Galloluwa East	GND	609	89	1	1	4	0	0	0	0	0
LK-1215300	Galloluwa	Galloluwa	GND	834	119	2	4	2	0	0	0	0	0
LK-1215305	Kalahugoda	Kalahugoda	GND	445	26	0	0	0	0	0	0	0	0
LK-1215310	Polwatta West	Polwatta west	GND	349	20	0	10	0	0	0	0	0	0
LK-1215315	Polwatta East	Polwatta East	GND	348	19	0	0	0	0	0	0	0	0
LK-1215320	Pattanduwana North	Pattanduwana North	GND	289	25	0	1	0	0	0	0	0	0
LK-1215325	Ellangala	Ellangala	GND	194	22	0	0	0	0	0	0	0	0
LK-1215330	Burullapitiya	Burullapitiya	GND	227	46	0	18	2	0	0	0	0	0
LK-1215335	Mathammana	Mathammana	GND	439	94	4	17	7	0	0	0	0	0
LK-1215340	Weediyawatta East	Weediyawatta East	GND	343	106	1	2	6	0	0	0	0	0
LK-1215345	Goigama	Goigama	GND	294	40	1	1	0	0	0	0	0	0
LK-1215350	Ihala Udugampala	Ihala Udugampala	GND	435	130	4	0	0	0	0	0	0	0
LK-1215355	Pethiyagoda South	Pethiyagoda South	GND	300	22	0	0	0	0	0	0	0	0
LK-1215360	Korase	Korase	GND	299	45	2	0	0	0	0	0	0	0
LK-1215365	Korase Meda	Korase Meda	GND	408	64	2	0	0	0	0	0	0	0
LK-1215370	Marapola	Marapola	GND	586	198	2	2	5	1	0	0	0	0
LK-1215375	Vigoda	Vigoda	GND	550	63	0	1	0	0	0	0	0	0
LK-1215380	Doranagoda East	Doranagoda East	GND	307	61	0	0	0	0	0	0	0	0
LK-1215385	Korase East	Korase East	GND	239	26	0	0	0	0	0	0	0	0
LK-1215390	Doranagoda North	Doranagoda North	GND	406	37	0	0	0	0	0	0	0	0
LK-1215395	Doranagoda West	Doranagoda West	GND	309	63	1	0	1	0	0	0	0	0
LK-1215400	Pahala Udugampola East	Pahala Udugampola East	GND	451	122	2	4	0	0	0	0	0	0
LK-1215405	Pahala Udugampola North	Pahala Udugampola North	GND	395	126	0	2	0	0	0	0	0	1
LK-1215410	Pahala Udugampola West	Pahala Udugampola West	GND	411	92	3	0	0	0	0	0	0	0
LK-1215415	Weediyawatta West	Weediyawatta West	GND	670	75	0	0	1	0	0	0	0	0
LK-1215420	Welhena	Welhena	GND	472	34	0	0	0	0	0	0	0	0
LK-1215425	Weliya	Weliya	GND	395	37	1	0	0	0	0	0	0	0
LK-1215430	Pattanduwana	Pattanduwana	GND	327	42	2	19	0	0	0	0	0	0
LK-1215435	Pattanduwana West	Pattanduwana West	GND	353	75	2	0	3	0	0	0	0	0
LK-1215440	Yagodamulla North	Yagodamulla North	GND	530	140	0	0	0	0	0	0	0	0
LK-1215445	Yagodamulla	Yagodamulla	GND	308	41	0	0	0	0	0	0	0	0
LK-1215450	Uggalboda West	Uggalboda West	GND	473	54	0	10	0	0	0	0	0	0
LK-1215455	Uggalboda	Uggalboda	GND	439	31	1	0	0	0	0	0	0	0
LK-1215460	Kehelbaddara West	Kehelbaddara West	GND	443	44	1	1	1	0	0	0	0	1
LK-1215465	Kehelbaddara East	Kehelbaddara East	GND	429	81	0	3	4	0	0	0	0	0
LK-1215470	Pahala Udugampola South	Pahala Udugampola South	GND	309	100	1	5	2	0	0	0	0	0
LK-1215475	Asgiriwalpola North	Asgiriwalpola North	GND	434	56	2	0	0	0	0	0	0	0
LK-1215480	Dombawala	Dombawala	GND	406	123	2	0	0	0	0	0	0	0
LK-1215485	Pedipola	Pedipola	GND	375	74	0	1	0	0	0	0	0	0
LK-1215490	Doranagoda South	Doranagoda South	GND	531	65	0	0	0	0	0	0	0	0
LK-1215495	Wathumulla	Wathumulla	GND	581	143	3	54	3	0	0	0	0	0
LK-1215500	Asgiriya North	Asgiriya North	GND	359	151	3	0	0	0	0	0	0	0
LK-1215505	Asgiriya South	Asgiriya South	GND	436	115	2	2	0	0	0	0	0	0
LK-1215510	Asgiriya	Asgiriya	GND	275	124	4	3	5	0	0	0	0	0
LK-1215515	Asgiriya West	Asgiriya West	GND	293	91	2	0	0	0	0	0	0	0
LK-1215520	Asgiriwalpola South	Asgiriwalpola South	GND	476	140	9	0	0	0	0	0	0	0
LK-1215525	Asgiriwalpola West	Asgiriwalpola West	GND	463	92	1	2	0	0	0	0	0	0
LK-1215530	Madelgamuwa East	Madelgamuwa East	GND	294	43	0	0	0	0	0	0	0	0
LK-1215535	Batapotha	Batapotha	GND	581	85	1	19	5	0	0	0	0	0
LK-1215540	Nedagamuwa North	Nedagamuwa North	GND	456	80	3	1	1	0	0	0	0	0
LK-1215545	Nedagamuwa South	Nedagamuwa South	GND	305	36	0	4	1	0	0	0	0	0
LK-1215550	Nedagamuwa West	Nedagamuwa West	GND	496	71	0	0	0	0	0	0	0	0
LK-1215555	Arachchiwatta	Arachchiwatta	GND	228	13	0	0	0	0	0	0	0	0
LK-1215560	Yagodamulla South	Yagodamulla South	GND	330	45	0	14	2	0	0	0	0	0
LK-1215565	Samurdhigama	Samurdhigama	GND	308	15	0	0	0	0	0	0	0	0
LK-1215570	Opatha	Opatha	GND	508	148	1	53	8	0	0	0	0	0
LK-1215575	Kotugoda 2	Kotugoda 2	GND	307	72	3	3	4	1	0	0	0	0
LK-1215580	Kotugoda 1	Kotugoda 1	GND	279	42	0	0	0	0	0	0	0	0
LK-1215585	Maduruvita	Maduruvita	GND	447	62	1	0	0	0	0	0	0	0
LK-1215590	Siyambalapitiya	Siyambalapitiya	GND	485	94	0	0	1	0	0	0	0	0
LK-1215595	Madelgamuwa West	Madelgamuwa West	GND	397	41	1	0	0	0	0	0	0	0
LK-1215600	Thammita West	Thammita West	GND	235	46	1	0	1	0	0	0	0	0
LK-1215605	Thammita	Thammita	GND	396	47	4	0	1	0	0	0	0	0
LK-1218	Wattala	Wattala	DSD	34583	11523	977	705	566	325	96	0	0	12
LK-1218005	Pamunugama	Pamunugama	GND	615	74	10	0	0	0	0	0	0	0
LK-1218010	Maha Pamunugama	Maha Pamunugama	GND	417	83	0	0	1	0	0	0	0	0
LK-1218015	Delathura West	Delathura West	GND	645	69	0	0	0	0	0	0	0	0
LK-1218020	Delathura East	Delathura East	GND	346	52	0	0	0	0	0	0	0	0
LK-1218025	Bopitiyathuduwa	Bopitiyathuduwa	GND	541	60	2	1	0	0	0	0	0	0
LK-1218030	Bopitiya	Bopitiya	GND	607	67	2	0	0	0	0	0	0	1
LK-1218035	Pulluhena	Pulluhena	GND	436	66	3	0	0	2	0	0	0	0
LK-1218040	Paranambalama	Paranambalama	GND	710	79	5	0	0	0	0	0	0	0
LK-1218045	Nugape	Nugape	GND	360	58	0	1	1	0	0	0	0	0
LK-1218050	Kunjawatta	Kunjawatta	GND	852	101	5	1	0	0	0	0	0	0
LK-1218055	Mangulpokuna	Mangulpokuna	GND	846	316	24	11	5	4	0	0	0	0
LK-1218060	Elehiwatta	Elehiwatta	GND	839	420	18	13	0	0	0	0	0	0
LK-1218065	Welisara	Welisara	GND	814	310	32	3	7	1	0	0	0	0
LK-1218070	Pattiyawala	Pattiyawala	GND	1372	69	2	1	2	1	0	0	0	1
LK-1218075	Uswetakeiyawa	Uswetakeiyawa	GND	959	137	10	6	1	32	0	0	0	0
LK-1218080	Mahabage	Mahabage	GND	640	358	21	25	21	7	0	0	0	0
LK-1218085	Elapitiwala	Elapitiwala	GND	815	316	27	47	44	109	0	0	0	0
LK-1218090	Horapethuduwa	Horapethuduwa	GND	375	202	10	2	1	0	0	0	0	0
LK-1218095	Horape	Horape	GND	464	157	3	2	1	0	0	0	0	0
LK-1218100	Kurukulawa North	Kurukulawa North	GND	510	254	15	3	1	0	0	0	0	0
LK-1218105	Kurukulawa South	Kurukulawa South	GND	521	189	9	2	0	2	0	0	0	0
LK-1218110	Heenkenda	Heenkenda	GND	706	224	7	4	1	0	0	0	0	0
LK-1218115	Thuduwegedara	Thuduwegedara	GND	556	156	10	15	1	0	0	0	0	0
LK-1218120	Galudupita	Galudupita	GND	934	228	7	8	17	2	0	0	0	0
LK-1218125	Mattumagala	Mattumagala	GND	958	377	35	63	29	43	27	0	0	0
LK-1218130	Kerangapokuna	Kerangapokuna	GND	551	207	11	4	4	4	0	0	0	0
LK-1218135	Kerawalapitiya	Kerawalapitiya	GND	2743	733	61	10	6	0	0	0	0	8
LK-1218140	Matagoda	Matagoda	GND	1423	566	64	19	15	0	0	0	0	0
LK-1218145	Balagala	Balagala	GND	2000	257	23	8	7	2	1	0	0	0
LK-1218150	Dikovita	Dikovita	GND	404	18	2	0	0	0	0	0	0	0
LK-1218155	Palliyawatta North	Palliyawatta North	GND	1150	145	9	3	0	0	0	0	0	0
LK-1218160	Elakanda	Elakanda	GND	397	252	20	46	30	8	0	0	0	0
LK-1218165	Nayakakanda North	Nayakakanda North	GND	371	212	19	2	0	0	0	0	0	0
LK-1218170	Mabola	Mabola	GND	473	378	56	13	21	0	0	0	0	0
LK-1218175	Welikadamulla	Welikadamulla	GND	1559	709	75	31	46	8	1	0	0	0
LK-1218180	Wattala	Wattala	GND	345	287	31	54	45	17	33	0	0	0
LK-1218185	Hendala North	Hendala North	GND	895	241	11	16	16	5	9	0	0	0
LK-1218190	Hendala South	Hendala South	GND	627	431	21	45	23	13	0	0	0	0
LK-1218195	Nayakakanda South	Nayakakanda South	GND	321	393	61	20	5	8	4	0	0	1
LK-1218200	Thimbirigasyaya	Thimbirigasyaya	GND	714	391	26	42	24	6	0	0	0	0
LK-1218205	Palliyawatta South	Palliyawatta South	GND	677	204	22	38	47	0	0	0	0	1
LK-1218210	Kurunduhena	Kurunduhena	GND	482	378	50	7	3	12	0	0	0	0
LK-1218215	Evariwatta	Evariwatta	GND	670	398	51	47	30	4	21	0	0	0
LK-1218220	Telangapatha	Telangapatha	GND	733	294	33	55	56	16	0	0	0	0
LK-1218225	Galwetiya	Galwetiya	GND	354	212	26	34	45	18	0	0	0	0
LK-1218230	Hekitta	Hekitta	GND	856	395	48	3	10	1	0	0	0	0
LK-1221	Ja Ela	Ja-Ela	DSD	43283	12275	564	510	372	130	22	0	0	3
LK-1221005	Mahawatta	Mahawatta	GND	2530	689	17	12	8	8	0	0	0	0
LK-1221010	Dandugama	Dandugama	GND	776	66	7	0	0	0	0	0	0	0
LK-1221015	Dehiyagatha North	Dehiyagatha North	GND	426	83	1	4	0	0	0	0	0	0
LK-1221020	Kudahakapola North	Kudahakapola North	GND	433	77	1	4	1	0	0	0	0	0
LK-1221025	Gallawatta	Gallawatta	GND	1340	295	6	4	1	4	0	0	0	2
LK-1221030	Ekala	Ekala	GND	725	251	4	8	21	0	0	0	0	0
LK-1221035	Dehiyagatha South	Dehiyagatha South	GND	280	33	0	0	0	0	0	0	0	0
LK-1221040	Kudahakapola South	Kudahakapola South	GND	428	66	0	0	1	0	0	0	0	0
LK-1221045	Ekala Kurunduwatta	Ekala Kurunduwatta	GND	548	85	1	6	1	0	0	0	0	0
LK-1221050	Vishakawatta	Vishakawatta	GND	1035	192	0	17	11	0	0	0	0	0
LK-1221055	Thudella North	Thudella North	GND	491	171	12	10	0	0	0	0	0	0
LK-1221060	Thudella West	Thudella West	GND	906	67	2	10	7	6	0	0	0	0
LK-1221065	Thudella South	Thudella South	GND	296	105	8	0	0	0	0	0	0	0
LK-1221070	Kanuwana	Kanuwana	GND	587	160	22	3	2	0	0	0	0	0
LK-1221075	Alexendrawatta	Alexendrawatta	GND	1118	322	7	60	35	1	0	0	0	0
LK-1221080	Bandigoda	Bandigoda	GND	817	178	3	6	1	0	0	0	0	0
LK-1221085	Yakkaduwa	Yakkaduwa	GND	909	152	6	0	1	0	0	0	0	0
LK-1221090	Nivandama North	Nivandama North	GND	891	157	9	1	1	0	0	0	0	0
LK-1221095	Nivandama South	Nivandama South	GND	846	114	9	1	0	0	0	0	0	0
LK-1221100	Batagama North	Batagama North	GND	821	271	13	10	6	0	0	0	0	0
LK-1221105	Maeliya	Maeliya	GND	828	316	10	2	3	0	0	0	0	0
LK-1221110	Ja-Ela	Ja-Ela	GND	356	227	22	3	3	1	0	0	0	0
LK-1221115	Weligampitiya North	Weligampitiya North	GND	344	170	13	0	3	0	0	0	0	0
LK-1221120	Indivitiya	Indivitiya	GND	626	192	10	4	0	0	0	0	0	0
LK-1221125	Wewala	Wewala	GND	866	223	2	0	0	0	0	0	0	0
LK-1221130	Weligampitiya South	Weligampitiya South	GND	755	237	12	114	34	1	0	0	0	0
LK-1221135	Thumpeliya	Thumpeliya	GND	563	292	8	0	1	0	0	0	0	0
LK-1221140	Indiminna	Indiminna	GND	726	228	2	1	4	0	0	0	0	0
LK-1221145	Dolahena	Dolahena	GND	580	144	4	2	1	0	0	0	0	0
LK-1221150	Hapugoda West	Hapugoda West	GND	292	184	5	7	13	0	0	0	0	0
LK-1221155	Kapuwatta	Kapuwatta	GND	1215	402	13	0	0	3	0	0	0	0
LK-1221160	Kalaeliya	Kalaeliya	GND	628	73	4	0	0	0	0	0	0	0
LK-1221165	Nedurupitiya	Nedurupitiya	GND	521	116	6	4	1	0	0	0	0	0
LK-1221170	Rilavulla	Rilavulla	GND	510	284	11	9	5	1	0	0	0	0
LK-1221175	Kandana East	Kandana East	GND	176	59	8	0	0	0	0	0	0	0
