region_id	region_name	region_name_in_data	region_ent_type	total	electricity-from_national_grid	electricity-from_rural_hydro_power_project	other-kerosene_lamp	other-solar_power_grid_connected	other-solar_power_standalone	other-bio_gas	other-generator	other-other
LK-7209	Lankapura	Lankapura	dsd	11449	11145	34	251	0	2	1	2	14
LK-7210	Welikanda	Welikanda	dsd	11051	10525	29	461	10	13	1	0	12
LK-7212	Dimbulagala	Dimbulagala	dsd	24354	23614	66	578	11	46	0	1	38
LK-7215	Thamankaduwa	Thamankaduwa	dsd	25391	24900	58	306	17	11	2	6	91
LK-7218	Elahera	Elahera	dsd	14222	13855	22	308	8	20	0	1	8
LK-81	Badulla	Badulla District	district	248262	240380	2619	4499	112	201	4	24	423
LK-8103	Mahiyanganaya	Mahiyanganaya	dsd	25579	24654	279	571	16	20	0	4	35
LK-8106	Rideemaliyadda	Rideemaliyadda	dsd	17356	16785	33	480	6	31	3	0	18
LK-8109	Meegahakivula	Meegahakivula	dsd	6583	5715	678	179	2	3	0	0	6
LK-8112	Kandaketiya	Kandaketiya	dsd	7824	7418	227	160	1	10	0	0	8
LK-8115	Soranathota	Soranathota	dsd	7195	7022	10	146	0	1	0	1	15
LK-8118	Passara	Passara	dsd	14227	13917	19	244	2	3	0	2	40
LK-8119	Lunugala	Lunugala	dsd	9422	8826	241	312	6	10	0	0	27
LK-8121	Badulla	Badulla	dsd	22160	21884	41	195	5	4	0	2	29
LK-8124	Hali-Ela	- Hali-Ela	dsd	27397	26771	59	476	4	16	0	2	69
LK-8127	Uva Paranagama	Uva Paranagama	dsd	23299	22437	428	361	2	36	0	3	32
LK-8130	Welimada	Welimada	dsd	29620	28875	176	460	9	31	1	6	62
LK-8133	Bandarawela	Bandarawela	dsd	18639	18460	19	129	3	5	0	1	22
LK-8136	Ella	Ella	dsd	13704	13380	68	217	9	5	0	1	24
LK-8139	Haputale	Haputale	dsd	13992	13617	113	240	4	2	0	2	14
LK-8142	Haldummulla	Haldummulla	dsd	11265	10619	228	329	43	24	0	0	22
LK-82	Moneragala	Monaragala District	district	151763	146034	549	4057	71	370	4	69	609
LK-8203	Bibile	Bibile	dsd	13715	13277	17	384	3	12	0	0	22
LK-8206	Madulla	Madulla	dsd	10326	9956	36	309	7	6	0	0	12
LK-8209	Medagama	Medagama	dsd	12470	12041	21	353	4	21	1	0	29
LK-8212	Siyambalanduwa	Siyambalanduwa	dsd	17865	17104	30	600	10	63	0	0	58
LK-8215	Moneragala	Moneragala	dsd	15981	15507	36	386	7	23	0	1	21
LK-8218	Badalkumbura	Badalkumbura	dsd	13262	12864	128	215	2	13	1	1	38
LK-8221	Wellawaya	Wellawaya	dsd	21590	20670	63	633	9	53	2	2	158
LK-8224	Buttala	Buttala	dsd	17706	17007	32	431	10	106	0	65	55
LK-8227	Katharagama	Katharagama	dsd	5395	5089	49	169	2	6	0	0	80
LK-8230	Thanamalvila	Thanamalvila	dsd	9537	9050	116	275	8	43	0	0	45
LK-8233	Sevanagala	Sevanagala	dsd	13916	13469	21	302	9	24	0	0	91
LK-91	Ratnapura	Rathnapura District	district	327645	317844	1419	6656	135	368	5	165	1053
LK-9103	Eheliyagoda	Eheliyagoda	dsd	20443	20006	47	317	10	6	0	2	55
LK-9106	Kuruvita	Kuruvita	dsd	27041	26506	40	412	6	12	0	0	65
LK-9109	Kiriella	Kiriella	dsd	9658	9453	8	152	2	16	0	0	27
LK-9112	Ratnapura	Ratnapura	dsd	33423	31903	804	590	23	22	2	10	69
LK-9115	Imbulpe	Imbulpe	dsd	18690	18257	29	350	4	28	0	0	22
LK-9118	Balangoda	Balangoda	dsd	21276	20803	42	346	7	37	0	5	36
LK-9121	Opanayake	Opanayake	dsd	8139	7938	11	156	1	9	0	0	24
LK-9124	Pelmadulla	Pelmadulla	dsd	26300	25505	36	478	8	26	0	128	119
LK-9127	Elapatha	Elapatha	dsd	10904	10537	6	303	4	15	0	1	38
LK-9130	Ayagama	Ayagama	dsd	8897	8456	21	364	7	26	0	1	22
LK-9133	Kalawana	Kalawana	dsd	15180	14768	39	293	6	36	0	1	37
LK-9136	Nivithigala	Nivithigala	dsd	16782	16227	41	422	5	8	0	2	77
LK-9139	Kahawatta	Kahawatta	dsd	12482	12067	25	338	2	7	0	0	43
LK-9142	Godakawela	Godakawela	dsd	22908	22217	23	511	8	30	1	15	103
LK-9145	Weligepola	Weligepola	dsd	10677	10324	3	263	4	30	1	0	52
LK-9148	Embilipitiya	Embilipitiya	dsd	45965	44481	211	977	25	36	1	0	234
LK-9151	Kolonna	Kolonna	dsd	14854	14496	25	285	9	16	0	0	23
LK-91XX	Kalthota	Kalthota	dsd	4026	3900	8	99	4	8	0	0	7
LK-92	Kegalle	Kegalle District	district	244037	238715	920	3651	68	174	3	28	478
LK-9203	Rambukkana	Rambukkana	dsd	24842	24363	148	263	7	8	0	2	51
LK-9206	Mawanella	Mawanella	dsd	33333	32900	45	295	17	8	0	2	66
LK-9209	Aranayaka	Aranayaka	dsd	20062	19708	23	271	1	10	0	2	47
LK-9212	Kegalle	Kegalle	dsd	26825	26338	45	332	16	18	0	1	75
LK-9215	Galigamuwa	Galigamuwa	dsd	21224	20655	257	270	5	9	0	1	27
LK-9218	Warakapola	Warakapola	dsd	32379	31594	221	494	5	12	2	5	46
LK-9221	Ruwanwella	Ruwanwella	dsd	18370	17847	25	367	5	81	1	5	39
LK-9224	Bulathkohupitiya	Bulathkohupitiya	dsd	12978	12654	19	275	0	3	0	3	24
LK-9227	Yatiyanthota	Yatiyanthota	dsd	17541	17093	15	379	5	8	0	3	38
LK-9230	Dehiovita	Dehiovita	dsd	23403	22834	107	414	3	5	0	3	37
LK-9233	Deraniyagala	Deraniyagala	dsd	13080	12729	15	291	4	12	0	1	28
